Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
1;6;15;0.3333333333333333;0.3333333333333333;0.3333333333333333
2;1;2;0.1111111111111111;1.0;0.5555555555555556
2;1;16;0.1111111111111111;0.1111111111111111;0.1111111111111111
3;2;3;0.1111111111111111;0.1111111111111111;0.1111111111111111
3;2;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
4;9;15;0.8888888888888888;0.8888888888888888;0.8888888888888888
5;2;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
6;3;5;0.2222222222222222;0.2222222222222222;0.2222222222222222
7;4;7;0.4444444444444444;0.7777777777777778;0.6111111111111112
7;4;8;0.4444444444444444;0.7777777777777778;0.6111111111111112
7;4;9;0.4444444444444444;0.7777777777777778;0.6111111111111112
7;4;12;0.4444444444444444;0.7777777777777778;0.6111111111111112
7;4;13;0.2222222222222222;0.2222222222222222;0.2222222222222222
7;4;14;0.5555555555555556;0.8888888888888888;0.7222222222222222
8;1;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
9;4;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;11;0.4444444444444444;0.5555555555555556;0.5
9;4;12;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;13;0.3333333333333333;0.4444444444444444;0.38888888888888884
9;4;14;0.4444444444444444;0.5555555555555556;0.5
10;5;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;11;0.4444444444444444;0.5555555555555556;0.5
10;5;12;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;13;0.3333333333333333;0.4444444444444444;0.38888888888888884
10;5;14;0.4444444444444444;0.5555555555555556;0.5
11;6;15;0.5555555555555556;0.8888888888888888;0.7222222222222222
12;7;15;0.3333333333333333;0.3333333333333333;0.3333333333333333
13;2;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
14;8;15;0.5555555555555556;0.8888888888888888;0.7222222222222222
15;3;5;1.0;1.0;1.0
16;9;15;0.8888888888888888;0.8888888888888888;0.8888888888888888
17;1;6;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;7;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;8;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;9;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;10;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;11;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;12;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;13;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;14;0.1111111111111111;0.1111111111111111;0.1111111111111111
17;1;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
18;4;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
18;4;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
18;4;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
18;4;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
