Mutant;Buggy_rules;OCL
1;6;15
2;1;2,16
3;2;3,4
4;9;15
5;2;4
6;3;5
7;4;7,8,9,12,13,14
8;1;15
9;4;6,7,8,9,10,11,12,13,14
10;5;6,7,8,9,10,11,12,13,14
11;6;15
12;7;15
13;2;4
14;8;15
15;3;5
16;9;15
17;1;6,7,8,9,10,11,12,13,14,15
18;4;6,7,8,9,10,11,12,13,14
19;5;6,7,8,9,10,11,12,13,14
20;6;2,3,6,7,8,9,10,11,12,13,14,15
21;1;2,15
22;4;6,7,8,9,10,11,12,13,14
23;6;6,7,8,9,10,11,12,13,14,15
24;2;3,4
25;4;6,7,8,9,10,11,12,13,14
26;1;1
27;4,5;6,7,8,9,10,11,12,13,14,15
28;6,7;6,7,8,9,10,11,12,13,14,15
29;2,3;3,4,5
30;4,1;7,8,9,12,13,14,15
31;6,1;1,15
32;2,5;3,4,6,7,8,9,10,11,12,13,14
33;3,4;5,6,7,8,9,10,11,12,13,14
34;4,5;6,7,8,9,10,11,12,13,14
35;1,2;2,4,15
36;3,6;5,15
37;7,8;15
38;4,6;6,7,8,9,10,11,12,13,14,15
39;1,4;1,6,7,8,9,10,11,12,13,14
40;2,3;4,5
