Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
3;11;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
3;11;15;0.05263157894736842;0.05263157894736842;0.05263157894736842;
4;14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
5;9;6;0.2631578947368421;0.3684210526315789;0.3157894736842105;
5;9;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
6;2;3;0.10526315789473684;0.10526315789473684;0.10526315789473684;
7;14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
7;14;15;0.10526315789473684;0.10526315789473684;0.10526315789473684;
9;4;11;0.15789473684210525;0.15789473684210525;0.15789473684210525;
10;4;4;0.10526315789473684;0.10526315789473684;0.10526315789473684;
10;4;11;0.15789473684210525;0.15789473684210525;0.15789473684210525;
12;1;1;0.05263157894736842;1.0;0.5263157894736842;
12;1;11;0.05263157894736842;0.05263157894736842;0.05263157894736842;
13;2;11;0.21052631578947367;1.0;0.6052631578947368;
15;11;12;0.15789473684210525;0.15789473684210525;0.15789473684210525;
16;14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
16;14;15;0.15789473684210525;1.0;0.5789473684210527;
17;11;12;0.2631578947368421;0.2631578947368421;0.2631578947368421;
17;11;15;0.10526315789473684;0.10526315789473684;0.10526315789473684;
19;11;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
19;11;15;0.05263157894736842;0.05263157894736842;0.05263157894736842;
20;8;5;0.05263157894736842;0.05263157894736842;0.05263157894736842;
21;1;2;0.05263157894736842;0.05263157894736842;0.05263157894736842;
21;1;3;0.15789473684210525;0.15789473684210525;0.15789473684210525;
22;4;4;0.05263157894736842;0.10526315789473684;0.07894736842105263;
23;15;5;0.47368421052631576;1.0;0.7368421052631579;
23;15;8;0.05263157894736842;0.05263157894736842;0.05263157894736842;
24;8;5;0.47368421052631576;1.0;0.7368421052631579;
24;8;14;0.05263157894736842;1.0;0.5263157894736842;
25;13;6;0.47368421052631576;0.47368421052631576;0.47368421052631576;
26;1;1;0.05263157894736842;0.05263157894736842;0.05263157894736842;
26;1;2;0.05263157894736842;0.05263157894736842;0.05263157894736842;
26;1;3;0.15789473684210525;0.15789473684210525;0.15789473684210525;
26;1;11;0.05263157894736842;0.05263157894736842;0.05263157894736842;
27;17;7;0.05263157894736842;0.05263157894736842;0.05263157894736842;
28;15;8;0.05263157894736842;0.05263157894736842;0.05263157894736842;
28;15;13;0.05263157894736842;0.05263157894736842;0.05263157894736842;
28;15;14;0.10526315789473684;0.10526315789473684;0.10526315789473684;
29;13;6;0.42105263157894735;0.42105263157894735;0.42105263157894735;
29;13;9;0.05263157894736842;0.05263157894736842;0.05263157894736842;
30;14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
34;17;7;0.05263157894736842;1.0;0.5263157894736842;
34;17;12;0.2631578947368421;0.2631578947368421;0.2631578947368421;
35;18;13;0.10526315789473684;0.10526315789473684;0.10526315789473684;
36;8;14;0.05263157894736842;0.05263157894736842;0.05263157894736842;
36;8;15;0.21052631578947367;1.0;0.6052631578947368;
37;10,11;15;0.10526315789473684;0.10526315789473684;0.10526315789473684;
39;1,11;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
39;1,11;15;0.05263157894736842;0.05263157894736842;0.05263157894736842;
40;2,4;11;0.15789473684210525;0.15789473684210525;0.15789473684210525;
41;9,14;6;0.2631578947368421;0.3684210526315789;0.3157894736842105;
41;9,14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
41;9,14;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
42;1,11;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
42;1,11;15;0.05263157894736842;0.05263157894736842;0.05263157894736842;
44;13,14;6;0.3684210526315789;0.3684210526315789;0.3684210526315789;
44;13,14;1;0.10526315789473684;1.0;0.5526315789473684;
45;2,11;12;0.15789473684210525;0.2631578947368421;0.21052631578947367;
45;2,11;15;0.05263157894736842;0.05263157894736842;0.05263157894736842;
46;8,17;7;0.05263157894736842;0.05263157894736842;0.05263157894736842;
46;8,17;14;0.05263157894736842;0.05263157894736842;0.05263157894736842;
47;1,2;1;0.05263157894736842;1.0;0.5263157894736842;
47;1,2;3;0.10526315789473684;0.10526315789473684;0.10526315789473684;
47;1,2;11;0.05263157894736842;0.05263157894736842;0.05263157894736842;
48;4,8;11;0.15789473684210525;0.15789473684210525;0.15789473684210525;
49;13,14;6;0.3684210526315789;0.3684210526315789;0.3684210526315789;
49;13,14;9;0.05263157894736842;0.05263157894736842;0.05263157894736842;
49;13,14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
50;2,14;10;0.05263157894736842;0.05263157894736842;0.05263157894736842;
50;2,14;11;0.21052631578947367;1.0;0.6052631578947368;
