Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
32;9;2;0.07692307692307693;0.07692307692307693;0.07692307692307693;
33;29;1;0.10256410256410256;0.1794871794871795;0.14102564102564102;
3;1;1;0.23076923076923078;1.0;0.6153846153846154;
19;1;3;0.02564102564102564;0.02564102564102564;0.02564102564102564;
5;9;2;0.07692307692307693;0.07692307692307693;0.07692307692307693;
37;20;2;0.20512820512820512;1.0;0.6025641025641025;
6;1;3;0.02564102564102564;0.02564102564102564;0.02564102564102564;
44;2;3;0.20512820512820512;0.2564102564102564;0.23076923076923075;
45;29;1;0.10256410256410256;0.1794871794871795;0.14102564102564102;
45;29;2;0.20512820512820512;1.0;0.6025641025641025;
