Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
1;8;10;0.875;0.875;0.875;
3;5;3;0.875;0.875;0.875;
3;5;8;0.125;0.125;0.125;
4;3;4;0.25;0.5;0.375;
4;3;6;0.125;0.5;0.3125;
6;2;1;0.25;0.25;0.25;
6;2;2;0.5;0.5;0.5;
6;2;3;1.0;1.0;1.0;
6;2;4;0.5;0.5;0.5;
6;2;5;0.25;0.25;0.25;
6;2;8;1.0;1.0;1.0;
6;2;9;1.0;1.0;1.0;
6;2;10;1.0;1.0;1.0;
7;5;3;0.875;0.875;0.875;
7;5;4;0.625;0.625;0.625;
7;5;8;0.125;0.125;0.125;
8;8;4;0.875;1.0;0.9375;
9;7;3;0.5;0.5;0.5;
9;7;4;1.0;1.0;1.0;
9;7;7;0.375;0.375;0.375;
9;7;9;0.25;0.25;0.25;
10;1;1;0.125;0.125;0.125;
10;1;2;0.125;0.125;0.125;
10;1;3;0.875;0.875;0.875;
10;1;8;0.875;0.875;0.875;
10;1;9;0.875;0.875;0.875;
10;1;10;0.875;0.875;0.875;
11;5;8;0.75;0.75;0.75;
12;5,6;8;0.125;0.125;0.125;
12;5,6;9;0.375;0.5;0.4375;
12;5,6;10;0.375;0.5;0.4375;
13;3,5;2;0.25;0.25;0.25;
13;3,5;3;0.625;0.75;0.6875;
13;3,5;8;0.5;0.5;0.5;
13;3,5;9;0.5;0.5;0.5;
13;3,5;10;0.5;0.5;0.5;
14;5,7;3;0.125;0.125;0.125;
14;5,7;9;0.125;0.125;0.125;
15;2,5;2;0.25;0.25;0.25;
15;2,5;3;0.875;0.875;0.875;
15;2,5;4;0.25;0.5;0.375;
15;2,5;8;0.125;0.125;0.125;
15;2,5;9;0.625;0.625;0.625;
15;2,5;10;0.625;0.625;0.625;
16;7,8;9;0.25;0.25;0.25;
16;7,8;1;0.375;1.0;0.6875;
17;2,3;2;0.25;0.25;0.25;
17;2,3;3;0.875;1.0;0.9375;
17;2,3;8;0.875;1.0;0.9375;
17;2,3;9;0.875;0.875;0.875;
17;2,3;10;0.875;0.875;0.875;
18;3,4;2;0.25;0.25;0.25;
18;3,4;3;0.125;0.125;0.125;
18;3,4;8;0.125;0.125;0.125;
18;3,4;9;0.625;0.625;0.625;
18;3,4;10;0.625;0.625;0.625;
