;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL22;not TrgSect1.allInstances() -> asSequence() -> select(s | s.title = 'Journals List') -> first().paras -> exists(p1,p2 | p1<>p2 and p1.content=p2.content)

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;X;;X;X;;;;;X;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;X;X;X;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;X;X;;X;;X;X;;X;;;X;;;;;;X;;X;;X;;37.0;20.0;3.0;40.0;40.0;60.0;43.0;57.0;0.5525291828793775;0.6491228070175439;0.77;0.787061403508772;0.925;0.585446299732014;0.07621009268795056;0.0022732556208694497;0.7748797303396366;0.5854786569277639;36.93181818181818;0.37;0.7664281447343783;0.3252032520325203;0.6101920329661251;0.6260162601626016;59.52173913043478;0.9029511918274687;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;53.0;4.0;42.0;1.0;95.0;5.0;43.0;57.0;-0.05263157894736842;0.5578947368421052;0.54;0.743859649122807;0.5578947368421052;-0.0786056049213944;0.03821196827685652;0.0016668179797976203;0.7202390082420811;-0.10658089918678605;52.04545454545455;0.53;0.5671814787553245;1.450381679389313;0.0491153407059307;0.3698630136986301;61.06521739130435;0.4876952707040445;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;13.0;44.0;4.0;39.0;17.0;83.0;43.0;57.0;0.12120102526547052;0.22807017543859648;0.52;0.49638802889576883;0.7647058823529411;0.17141377524598653;0.02663934426229508;9.597948197204329E-5;0.4176201680321031;0.1779888640234011;12.909090909090908;0.13;0.42526437583166754;0.1798076923076923;0.27261480912339936;0.35135135135135137;3.5208333333333335;0.7102922490470139;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;57.0;0.0;29.0;14.0;86.0;14.0;43.0;57.0;0.35498220640569395;0.6627906976744186;0.71;0.8313953488372092;0.6627906976744187;0.43666210670314637;0.06896551724137931;0.6627906976744186;0.8141195843820603;0.46453451989391115;56.34090909090909;0.57;0.7461682206313854;0.0;0.46450747982384516;0.5503875968992248;112.03448275862068;0.5972222222222223;
Author;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;57.0;0.0;42.0;1.0;99.0;1.0;43.0;57.0;0.02642559109874826;0.5757575757575758;0.58;0.7878787878787878;0.5757575757575757;0.04470588235294118;0.047619047619047616;0.5757575757575758;0.7587869106393281;0.11571391905959139;56.04545454545455;0.57;0.605818251876167;0.0;0.11569043310623625;0.4084507042253521;77.35714285714286;0.5058823529411764;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;X;;;X;;;X;;;;;;16.0;41.0;1.0;42.0;17.0;83.0;43.0;57.0;0.2310508971072867;0.2807017543859649;0.58;0.6109391124871001;0.9411764705882353;0.32677369238736403;0.042440318302387266;6.229801814429778E-4;0.5139940529625885;0.3393080761292027;15.977272727272727;0.16;0.4995410242691384;0.16827619507484307;0.36133560499196127;0.4084507042253521;6.095238095238095;0.9234899328859061;
UntitledEntry;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;X;;X;X;X;X;X;;X;X;;X;35.0;22.0;27.0;16.0;62.0;38.0;43.0;57.0;-0.014072847682119206;0.5645161290322581;0.51;0.5892756083757782;0.564516129032258;-0.014146037029332224;0.02411298656562177;2.061269338071729E-4;0.5887552214709278;-0.014148800348190226;34.38636363636363;0.35;0.5448817175935229;0.7156348373557188;0.2330293672466848;0.3422818791946309;25.0;0.4944152431011827;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;57.0;0.0;43.0;0.0;100.0;0.0;43.0;57.0;0.0;0.57;0.57;0.7849999999999999;0.5700000000000001;0.0;0.046511627906976744;0.57;0.754983443527075;0.0;56.02272727272727;0.57;0.57;0.0;0.0;0.3986013986013986;75.55813953488372;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;52.0;5.0;36.0;7.0;88.0;12.0;43.0;57.0;0.08236347358997315;0.5909090909090909;0.59;0.7515948963317385;0.5909090909090908;0.10493299116053607;0.04173354735152488;0.001498197066104621;0.7342172431423766;0.11437054965219957;51.18181818181818;0.52;0.6341858956139886;0.7560137457044673;0.22624072035786166;0.41843971631205673;65.95121951219512;0.5214552238805971;
;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Pass;
