In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL4;SrcAuthor.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.author and p.section.title = 'Authors List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.17543859649122806;0.4588235294117647;0.53;0.7169117647058824;0.975;0.272108843537415;0.04051948051948052;0.0032825873953823644;0.6688444820557845;0.2858309752375148;38.9375;0.39;0.5702528782308767;0.5943152454780362;0.3121095828420772;0.36054421768707484;32.361702127659576;0.8731343283582089
TitledEntry_Title_NoArticle;0.24324324324324326;0.8736842105263158;0.86;0.925077399380805;0.8736842105263158;0.2571428571428571;0.1371900826446281;0.02777251452322305;0.923648707563931;0.28912165479145596;82.25;0.83;0.875864222023235;0.8878504672897196;0.31992018870060757;0.7543859649122807;492.07142857142856;0.5496688741721855
Article_NoTitle_Journal;0.06976744186046512;0.2;0.32;0.6;1.0;0.189873417721519;0.029411764705882353;0.2;0.447213595499958;0.19011727515734336;17.0;0.17;0.3265240919285006;0.3617021276595745;0.19010310186960752;0.19047619047619047;4.25;1.0
Article_Title_Journal;0.31451612903225806;0.8953488372093024;0.83;0.9006155950752395;0.8953488372093024;0.31464300121016536;0.10598761183757742;0.008152764294495064;0.9006001950667728;0.31477212878897204;76.4375;0.77;0.8528064424914592;0.8981723237597912;0.37285381308117443;0.7094017094017094;348.7647058823529;0.6015625
Author;0.10828025477707007;0.8585858585858586;0.86;0.9292929292929293;0.8585858585858586;0.12372634643377002;0.14285714285714285;0.8585858585858586;0.9265990819042822;0.23924685418842448;84.125;0.85;0.8706333493620935;0.0;0.23917953306975012;0.7543859649122807;516.0714285714286;0.5172413793103449
Article_NoTitle_NoJournal;0.04240766073871409;0.18823529411764706;0.3;0.5647058823529412;0.9411764705882353;0.1154132539091586;0.025437201907790145;3.702760871074495E-4;0.42090691341172515;0.11556148097799303;15.9375;0.16;0.30670162692368985;0.38459016393442624;0.16699252870114545;0.17647058823529413;3.657142857142857;0.7384615384615385
UntitledEntry;0.11057692307692307;0.6470588235294118;0.63;0.7670777988614801;0.8870967741935484;0.1266868631231066;0.04480651731160896;0.0014370136718193304;0.757630381562417;0.13270433211332325;54.5625;0.55;0.6724973264763101;0.8508691674290942;0.25385451030668615;0.45985401459854014;81.75675675675676;0.5809859154929577
Main;0.0;0.85;0.85;0.925;0.85;0.0;0.13333333333333333;0.85;0.9219544457292886;0.0;84.0625;0.85;0.85;0.0;0.0;0.7391304347826086;481.6666666666667;0.5
TitledEntry_NoTitle_NoArticle;0.4444444444444444;0.9090909090909091;0.87;0.9251336898395721;0.9090909090909091;0.44616044616044614;0.14285714285714285;0.015707834282348322;0.9249945801257606;0.4481426646623499;79.5;0.8;0.8885691863915416;0.8365019011406845;0.482573588518328;0.7699115044247787;492.3076923076923;0.6382978723404255
EXAM-BC;0.6666666666666666;0.4444444444444444;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.8888888888888888;0.6666666666666666;0.2222222222222222;0.1111111111111111;0.8888888888888888
