In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;0.4;1.0;0.0;0.9999583350693722;1.0;1.0;1.0
TitledEntry_Title_NoArticle;-0.03389830508474576;0.3894736842105263;0.39;0.6572368421052632;0.3894736842105263;-0.06956521739130435;0.028406909788867563;7.851454382992683E-4;0.6002192581838214;-0.0936585811581694;36.049180327868854;0.37;0.4277798364417209;1.1924686192468619;0.06930085943687747;0.2422360248447205;22.442622950819672;0.4889867841409692
Article_NoTitle_Journal;0.23963133640552994;0.3;0.67;0.5029411764705882;0.7058823529411764;0.27289425347677776;0.03550295857988166;1.0281748468447883E-4;0.4601789933084222;0.2825753120721564;11.918032786885245;0.12;0.5331760807266656;0.12896234082904362;0.3586337920424089;0.5037593984962406;4.363636363636363;0.782608695652174
Article_Title_Journal;0.1958041958041958;0.46511627906976744;0.54;0.7325581395348837;0.4651162790697675;0.31076581576026635;0.043478260869565216;0.46511627906976744;0.6819943394704735;0.3294345637345082;39.24590163934426;0.4;0.5805381334245654;0.0;0.3294151850295497;0.3698630136986301;34.78260869565217;0.5660377358490566
Author;0.013377926421404682;0.40404040404040403;0.41;0.702020202020202;0.4040404040404041;0.03201280512204882;0.03389830508474576;0.40404040404040403;0.6356417261637282;0.08206099398622183;39.032786885245905;0.4;0.4398267353652155;0.0;0.08204416242242395;0.2578616352201258;27.11864406779661;0.5042016806722689
Article_NoTitle_NoJournal;0.3317972350230415;0.35;0.71;0.5867647058823529;0.8235294117647058;0.3778535817370769;0.0498220640569395;2.510882626485712E-4;0.5368754921931592;0.3912581244076012;13.950819672131148;0.14;0.5929761367515518;0.12632180623035152;0.4336208576512763;0.5503875968992248;6.758620689655173;0.875
UntitledEntry;-0.06870229007633588;0.3709677419354839;0.44;0.4729838709677419;0.3709677419354839;-0.07569386038687972;0.017597551644988524;7.976697788856356E-5;0.4618511141189368;-0.07569709990340501;22.360655737704917;0.23;0.44541969688204425;0.5478170478170478;0.20311200974630714;0.28205128205128205;9.446428571428571;0.4693877551020407
Main;0.0;0.4;0.4;0.7;0.4;0.0;0.03333333333333333;0.4;0.6324555320336759;0.0;39.01639344262295;0.4;0.4;0.0;0.0;0.25;26.666666666666668;0.5
TitledEntry_NoTitle_NoArticle;0.13194444444444445;0.4431818181818182;0.5;0.7090909090909091;0.44318181818181823;0.2199074074074074;0.0380859375;0.003082247994309696;0.6573448659016611;0.23869648112406286;38.19672131147541;0.39;0.5442626480059262;0.14666666666666667;0.26945883819624855;0.3333333333333333;30.42;0.5441860465116279
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.8333333333333333;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.8333333333333333;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
