;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL10;SrcTechReport.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] TechReport ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and	p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;X;;X;X;;;;;X;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;X;X;X;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;X;X;;X;;X;X;;X;;;X;;;;;;X;;X;;X;;18.0;22.0;22.0;38.0;40.0;60.0;60.0;40.0;0.08333333333333333;0.45;0.56;0.45;0.44999999999999996;0.08333333333333333;0.020454545454545454;6.692671689750875E-5;0.45;0.08333333333333333;17.639344262295083;0.18;0.5008700383211195;0.30303030303030304;0.28498812549477104;0.3888888888888889;7.363636363636363;0.5510204081632654;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;40.0;0.0;55.0;5.0;95.0;5.0;60.0;40.0;0.06779661016949153;0.42105263157894735;0.45;0.7105263157894737;0.42105263157894735;0.1391304347826087;0.03636363636363636;0.42105263157894735;0.6488856845230502;0.1873171623163388;39.09836065573771;0.4;0.49606996706007955;0.0;0.18729962009966883;0.2903225806451613;29.09090909090909;0.5217391304347826;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;6.0;34.0;11.0;49.0;17.0;83.0;60.0;40.0;-0.03686635944700461;0.15;0.55;0.2514705882352941;0.3529411764705882;-0.041983731304119656;0.011787819253438114;9.624880958937584E-6;0.2300894966542111;-0.04347312493417791;5.819672131147541;0.06;0.33965724706402306;0.14184049079754601;0.15975505281889124;0.3793103448275862;0.8;0.45;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;32.0;8.0;54.0;6.0;86.0;14.0;60.0;40.0;-0.08391608391608392;0.37209302325581395;0.38;0.586046511627907;0.37209302325581395;-0.13318534961154274;0.02247191011235955;2.3687210386841753E-4;0.5455954715763788;-0.1411862416005035;31.114754098360656;0.32;0.4251616381946047;1.017751479289941;0.11294234915298845;0.2345679012345679;16.516129032258064;0.47058823529411764;
Author;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;40.0;0.0;59.0;1.0;99.0;1.0;60.0;40.0;0.013377926421404682;0.40404040404040403;0.41;0.702020202020202;0.4040404040404041;0.03201280512204882;0.03389830508474576;0.40404040404040403;0.6356417261637282;0.08206099398622183;39.032786885245905;0.4;0.4398267353652155;0.0;0.08204416242242395;0.2578616352201258;27.11864406779661;0.5042016806722689;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;X;;;X;;;X;;;;;;6.0;34.0;11.0;49.0;17.0;83.0;60.0;40.0;-0.03686635944700461;0.15;0.55;0.2514705882352941;0.3529411764705882;-0.041983731304119656;0.011787819253438114;9.624880958937584E-6;0.2300894966542111;-0.04347312493417791;5.819672131147541;0.06;0.33965724706402306;0.14184049079754601;0.15975505281889124;0.3793103448275862;0.8;0.45;
UntitledEntry;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;X;;X;X;X;X;X;;X;X;;X;26.0;14.0;36.0;24.0;62.0;38.0;60.0;40.0;0.04580152671755725;0.41935483870967744;0.5;0.5346774193548387;0.4193548387096774;0.050462573591253154;0.022530329289428077;1.3407441844229327E-4;0.5220925637866243;0.05046473326893667;25.40983606557377;0.26;0.5048524067701242;0.4568421052631579;0.2624055778088937;0.3333333333333333;13.52;0.52;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;40.0;0.0;60.0;0.0;100.0;0.0;60.0;40.0;0.0;0.4;0.4;0.7;0.4;0.0;0.03333333333333333;0.4;0.6324555320336759;0.0;39.01639344262295;0.4;0.4;0.0;0.0;0.25;26.666666666666668;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;38.0;2.0;50.0;10.0;88.0;12.0;60.0;40.0;0.09722222222222222;0.4318181818181818;0.48;0.6909090909090909;0.43181818181818177;0.16203703703703703;0.034926470588235295;0.0014390783520360367;0.64048986934008;0.17588161767036212;37.18032786885246;0.38;0.5250863486865456;0.2857142857142857;0.23868148837896142;0.3157894736842105;27.76923076923077;0.5327102803738318;
;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;
