;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL3;SrcAuthor.allInstances()->forAll(au|TrgArticle.allInstances()->exists(a|a.sections_1->at(2).paras->exists(p|p.content=au.author )))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;X;;X;X;;;;;X;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;X;X;X;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;X;X;;X;;X;X;;X;;;X;;;;;;X;;X;;X;;27.0;27.0;13.0;33.0;40.0;60.0;46.0;54.0;0.2125984251968504;0.5;0.6;0.5875;0.675;0.22113022113022113;0.030303030303030304;2.0758532141127266E-4;0.5809475019311126;0.22116293423234568;26.72340425531915;0.27;0.5869885838043202;0.3673469387755102;0.364903896443287;0.42857142857142855;18.225;0.638888888888889;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;51.0;3.0;44.0;2.0;95.0;5.0;46.0;54.0;-0.01293103448275862;0.5368421052631579;0.53;0.7406432748538012;0.5368421052631579;-0.02027712064886786;0.038331454340473504;0.0019630218309763486;0.7120516440958824;-0.027618408833305373;50.06382978723404;0.51;0.5652154001371309;1.1264822134387351;0.09389394602861031;0.36054421768707484;55.340425531914896;0.4968233799237611;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;12.0;42.0;5.0;41.0;17.0;83.0;46.0;54.0;0.10714285714285714;0.2222222222222222;0.53;0.46405228758169936;0.7058823529411764;0.144801026957638;0.024390243902439025;6.854831799564718E-5;0.39605901719066977;0.15062942064084348;11.893617021276595;0.12;0.4210473173644982;0.17192391042619792;0.2627862291544326;0.36054421768707484;3.0638297872340425;0.6715328467153285;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;54.0;0.0;32.0;14.0;86.0;14.0;46.0;54.0;0.32088285229202035;0.627906976744186;0.68;0.813953488372093;0.627906976744186;0.40997830802603036;0.0625;0.627906976744186;0.7924058156930615;0.4371522885184592;53.319148936170215;0.54;0.7180503815408917;0.0;0.4371270119214176;0.5151515151515151;91.125;0.5897435897435898;
Author;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;54.0;0.0;45.0;1.0;99.0;1.0;46.0;54.0;0.0234375;0.5454545454545454;0.55;0.7727272727272727;0.5454545454545454;0.041811846689895474;0.044444444444444446;0.5454545454545454;0.7385489458759964;0.10889310129609416;53.04255319148936;0.54;0.5768627388197116;0.0;0.10887114700565136;0.3793103448275862;64.8;0.5054945054945055;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;X;;;X;;;X;;;;;;12.0;42.0;5.0;41.0;17.0;83.0;46.0;54.0;0.10714285714285714;0.2222222222222222;0.53;0.46405228758169936;0.7058823529411764;0.144801026957638;0.024390243902439025;6.854831799564718E-5;0.39605901719066977;0.15062942064084348;11.893617021276595;0.12;0.4210473173644982;0.17192391042619792;0.2627862291544326;0.36054421768707484;3.0638297872340425;0.6715328467153285;
UntitledEntry;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;X;;X;X;X;X;X;;X;X;;X;37.0;17.0;25.0;21.0;62.0;38.0;46.0;54.0;0.14355628058727568;0.5967741935483871;0.58;0.6409796893667862;0.5967741935483871;0.14545454545454545;0.030782029950083195;3.218962581734962E-4;0.6394535450837623;0.14550543802680627;36.46808510638298;0.37;0.6070165132943582;0.5642398286937902;0.3211734434618498;0.4084507042253521;32.595238095238095;0.5576671035386631;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;54.0;0.0;46.0;0.0;100.0;0.0;46.0;54.0;0.0;0.54;0.54;0.77;0.54;0.0;0.043478260869565216;0.54;0.7348469228349533;0.0;53.02127659574468;0.54;0.54;0.0;0.0;0.3698630136986301;63.391304347826086;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;51.0;3.0;37.0;9.0;88.0;12.0;46.0;54.0;0.14821124361158433;0.5795454545454546;0.6;0.7619949494949495;0.5795454545454546;0.19661016949152543;0.04509283819628647;0.00233348674595677;0.7398300378117159;0.21486787516262043;50.212765957446805;0.51;0.6442049873977425;0.4888888888888889;0.28338582082967095;0.42857142857142855;65.025;0.5400552486187845;
;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;Pass;Pass;Fail;
