In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.13043478260869565;0.225;0.48;0.2625;0.22499999999999998;-0.13333333333333333;0.010169491525423728;1.2441347112202058E-5;0.25980762113533157;-0.1336306209562122;8.56338028169014;0.09;0.3478396699555341;0.2766798418972332;0.1563408625432541;0.3157894736842105;1.5576923076923077;0.4038461538461538
TitledEntry_Title_NoArticle;0.049079754601226995;0.3181818181818182;0.38;0.6257575757575757;0.31818181818181823;0.10139416983523447;0.02834008097165992;6.519642084954928E-4;0.5449492609130661;0.1074430618700507;27.154929577464788;0.28;0.41911233157317823;0.25287356321839083;0.18801273285778325;0.2345679012345679;12.64516129032258;0.5212765957446809
Article_NoTitle_Journal;0.04891304347826087;0.2;0.65;0.27647058823529413;0.3529411764705882;0.05126744517231558;0.016260162601626018;1.3635093093598096E-5;0.2656844656620286;0.052284066118750666;5.845070422535211;0.06;0.4148613943315277;0.11255172413793103;0.20563871381363086;0.48148148148148145;1.0285714285714285;0.56
Article_Title_Journal;-0.055900621118012424;0.27906976744186046;0.32;0.5395348837209303;0.2790697674418605;-0.1089588377723971;0.020202020202020204;1.5474685992830062E-4;0.47249953857489463;-0.11320083081329449;23.12676056338028;0.24;0.35762036258673463;0.7010869565217391;0.12073995960988068;0.19047619047619047;8.470588235294118;0.4745762711864407
Author;0.008620689655172414;0.30303030303030304;0.31;0.6515151515151515;0.303030303030303;0.027285129604365622;0.028985507246376812;0.30303030303030304;0.5504818825631803;0.0657951694959769;29.028169014084508;0.3;0.3395689862530513;0.0;0.06578074264560377;0.1834319526627219;13.043478260869565;0.5035971223021583
Article_NoTitle_NoJournal;-0.005434782608695652;0.16666666666666666;0.63;0.2303921568627451;0.2941176470588235;-0.005696382796923953;0.012738853503184714;8.332750040830475E-6;0.22140372138502384;-0.005809340679861185;4.830985915492958;0.05;0.37319355192623943;0.11421660843859177;0.16846109323715522;0.45985401459854014;0.6756756756756757;0.4929577464788732
UntitledEntry;0.014598540145985401;0.3064516129032258;0.46;0.46989247311827953;0.30645161290322576;0.017953321364452424;0.019269776876267748;7.629897955927089E-5;0.4405519509721599;0.017983023048313673;18.3943661971831;0.19;0.4354387829140078;0.34725050916496947;0.2306219023971572;0.2987012987012987;6.685185185185185;0.5076335877862596
Main;0.0;0.3;0.3;0.65;0.30000000000000004;0.0;0.02857142857142857;0.3;0.5477225575051661;0.0;29.014084507042252;0.3;0.3;0.0;0.0;0.17647058823529413;12.857142857142858;0.5
TitledEntry_NoTitle_NoArticle;0.04411764705882353;0.3157894736842105;0.35;0.6578947368421053;0.3157894736842105;0.11650485436893204;0.03076923076923077;0.3157894736842105;0.5619514869490164;0.15018785229652765;29.08450704225352;0.3;0.3939249764962854;0.0;0.15017281620803458;0.21212121212121213;13.846153846153847;0.5185185185185185
EXAM-BC;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.4444444444444444;0.3333333333333333;0.5555555555555556;0.1111111111111111;0.2222222222222222
EXAM-WC;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.2222222222222222;0.4444444444444444;0.3333333333333333;0.5555555555555556;0.1111111111111111;0.2222222222222222
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.4444444444444444;0.3333333333333333;0.5555555555555556;0.1111111111111111;0.2222222222222222

OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.06926406926406926;0.35;0.57;0.4008064516129032;0.35;0.07050011015642212;0.018842530282637954;4.433588686929373E-5;0.3975732839729454;0.07061695217765014;13.628571428571428;0.14;0.47262357256861937;0.24130589070262598;0.26568455642239913;0.3986013986013986;4.558139534883721;0.5451467268623025
TitledEntry_Title_NoArticle;0.05338299193047796;0.32954545454545453;0.39;0.6325146627565982;0.3295454545454546;0.10766823161189358;0.02892768079800499;7.111389215379543E-4;0.5552336962739256;0.11444349058073472;28.15714285714286;0.29;0.43006306892721;0.2558139534883721;0.192944210160019;0.2422360248447205;13.78688524590164;0.5224543080939947
Article_NoTitle_Journal;0.03897490656700481;0.1935483870967742;0.64;0.2732447817836812;0.3529411764705882;0.04112676056338028;0.015665796344647518;1.3089709597520518E-5;0.2613641051214193;0.04201979806270484;5.8428571428571425;0.06;0.40647690100451606;0.11523861171366595;0.20030202822936316;0.47058823529411764;1.0;0.5483443708609271
Article_Title_Journal;0.042085427135678394;0.32558139534883723;0.39;0.614403600900225;0.32558139534883723;0.08016751420879449;0.027237354085603113;4.49930329665789E-4;0.5422854583884718;0.08349993984667617;27.17142857142857;0.28;0.427498444143155;0.32741116751269034;0.19191327610503883;0.2422360248447205;12.852459016393443;0.5179624664879356
Author;0.009035266686097347;0.31313131313131315;0.32;0.6565656565656566;0.31313131313131315;0.02770330652368186;0.029411764705882353;0.31313131313131315;0.5595813731096785;0.06736568097271475;30.02857142857143;0.31;0.34970398942399605;0.0;0.0673510450081625;0.19047619047619047;14.132352941176471;0.5036496350364964
Article_NoTitle_NoJournal;0.09236518953550454;0.22580645161290322;0.66;0.3187855787476281;0.4117647058823529;0.09746478873239436;0.019498607242339833;2.041422546553808E-5;0.30492478930832245;0.09958116527188955;6.857142857142857;0.07;0.4455533507244902;0.11364902506963788;0.2377147633871465;0.4925373134328358;1.4411764705882353;0.6090794451450189
UntitledEntry;-0.0813782991202346;0.27419354838709675;0.41;0.41129032258064513;0.27419354838709675;-0.09877641824249166;0.015024304021210782;4.5863610192957256E-5;0.3877682348442357;-0.0988917219515128;16.357142857142858;0.17;0.3866880742784511;0.43618090452261304;0.18173885274508053;0.2578616352201258;4.898305084745763;0.4567757009345794
Main;0.0;0.31;0.31;0.655;0.31000000000000005;0.0;0.028985507246376812;0.31;0.5567764362830022;0.0;30.014285714285712;0.31;0.31;0.0;0.0;0.1834319526627219;13.927536231884059;0.5
TitledEntry_NoTitle_NoArticle;0.046199701937406856;0.3263157894736842;0.36;0.6631578947368422;0.3263157894736842;0.11859219586840092;0.03125;0.3263157894736842;0.5712405705774793;0.15377279246014755;30.085714285714285;0.31;0.4043735709437744;0.0;0.15375753844334222;0.21951219512195122;15.015625;0.5187969924812029
EXAM-BC;0.3333333333333333;0.2222222222222222;0.5555555555555556;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.5555555555555556;0.1111111111111111;0.4444444444444444
EXAM-WC;0.3333333333333333;0.2222222222222222;0.6666666666666666;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.6666666666666666;0.1111111111111111;0.4444444444444444
EXAM-AVG;0.3333333333333333;0.2222222222222222;0.6111111111111112;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.6111111111111112;0.1111111111111111;0.4444444444444444

OCL8;SrcBook.allInstances()->select(b|b.oclIsTypeOf(SrcBook))->forAll(b | TrgPara.allInstances()->exists(p | p.content ='['+b.id+'] Book ' + b.title + ' ' + b.authors->iterate(e; str : String =  '' | str + e.author + ' ') + b.year + ' ' + b.publisher and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.07563025210084033;0.425;0.56;0.4361842105263158;0.42500000000000004;0.07569386038687972;0.019836639439906652;5.9821524861018446E-5;0.4360407996361905;0.07569709990340501;16.634920634920636;0.17;0.49278829322543116;0.29045643153526973;0.27880592642194957;0.3888888888888889;6.568181818181818;0.5466804979253113
TitledEntry_Title_NoArticle;0.12043301759133965;0.42045454545454547;0.48;0.6970693779904307;0.4204545454545454;0.20867526377491208;0.03652517275419546;0.0026670926741646584;0.639835879076119;0.22569939546151688;36.19047619047619;0.37;0.5236971695628513;0.14193548387096774;0.2580163779179378;0.3157894736842105;26.326923076923077;0.5420604914933838
Article_NoTitle_Journal;0.025665399239543727;0.18421052631578946;0.59;0.2979876160990712;0.4117647058823529;0.02867002920095567;0.015435501653803748;1.580473858317292E-5;0.2754113163776218;0.02961710533130105;6.841269841269841;0.07;0.3887784253411832;0.13304721030042918;0.19963027950911166;0.41843971631205673;1.1951219512195121;0.5331695331695332
Article_Title_Journal;0.045020463847203276;0.3953488372093023;0.44;0.6450428396572827;0.39534883720930236;0.07415730337078652;0.029310344827586206;5.54952809808647E-4;0.5947547142601216;0.07837418625974366;33.17460317460318;0.34;0.48358105402278395;0.4673913043478261;0.20186091863476727;0.28205128205128205;20.642857142857142;0.5161606268364348
Author;0.012305699481865285;0.3838383838383838;0.39;0.6919191919191919;0.38383838383838387;0.03095723014256619;0.03278688524590164;0.3838383838383838;0.6195469181897234;0.07868253729267151;37.03174603174603;0.38;0.4199558797686272;0.0;0.0786662487135976;0.2422360248447205;23.672131147540984;0.5040650406504065
Article_NoTitle_NoJournal;-0.06939163498098859;0.13157894736842105;0.55;0.2128482972136223;0.2941176470588235;-0.07751526413591718;0.00983284169124877;6.312732782021337E-6;0.19672236884115843;-0.08007587737722137;4.809523809523809;0.05;0.31622776601683794;0.13800738007380073;0.1371087084540602;0.3793103448275862;0.5555555555555556;0.4046997389033942
UntitledEntry;-0.059001512859304085;0.3548387096774194;0.44;0.466893039049236;0.3548387096774194;-0.06621392190152801;0.01751592356687898;7.560472848217572E-5;0.45324710388668105;-0.06621392190152801;21.365079365079364;0.22;0.44;0.512396694214876;0.205424217987352;0.28205128205128205;8.642857142857142;0.4729542302357837
Main;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5
TitledEntry_NoTitle_NoArticle;0.029605263157894735;0.3894736842105263;0.41;0.6815789473684211;0.3894736842105263;0.06358177322500883;0.03218790778599391;0.00234597773634569;0.6158119654012107;0.08507619569689337;36.07936507936508;0.37;0.4545396976814281;0.34296028880866425;0.1398898537053693;0.2578616352201258;23.203389830508474;0.5100044464206314
EXAM-BC;0.1111111111111111;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222
EXAM-WC;0.1111111111111111;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.4444444444444444;0.1111111111111111;0.3333333333333333;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222
EXAM-AVG;0.1111111111111111;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.38888888888888884;0.1111111111111111;0.3333333333333333;0.2222222222222222;0.4444444444444444;0.1111111111111111;0.2222222222222222

OCL9;SrcInBook.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] InBook ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.publisher + ' ' + b.chapter.toString() and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.3;0.54;0.35;0.30000000000000004;0.0;0.015384615384615385;2.856748353798761E-5;0.3464101615137754;0.0;11.605633802816902;0.12;0.4282158876746881;0.24793388429752067;0.22448944365185206;0.3698630136986301;3.130434782608696;0.5
TitledEntry_Title_NoArticle;0.07975460122699386;0.32954545454545453;0.4;0.6481060606060606;0.3295454545454546;0.16476552598225602;0.031216361679224973;0.0014192152633985904;0.5644117345171041;0.1745949755388324;28.169014084507044;0.29;0.43852068744665945;0.12571428571428572;0.21420022064868877;0.25;14.016666666666667;0.5342105263157895
