In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgBook.allInstances()->forAll(b | b.articles->exists(a | a.title = 'BibTeXML to DocBook'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.4;0.4;0.7;1.0;0.0;0.03333333333333333;0.4;0.6324555320336759;0.0;40.0;0.4;0.4;1.0;0.0;0.25;26.666666666666668;1.0
TitledEntry_Title_NoArticle;0.0;0.95;0.95;0.975;1.0;0.0;0.4;0.95;0.9746794344808963;0.0;95.0;0.95;0.95;1.0;0.0;0.9047619047619048;1805.0;1.0
Article_NoTitle_Journal;0.0;0.17;0.17;0.585;1.0;0.0;0.024096385542168676;0.17;0.412310562561766;0.0;17.0;0.17;0.17;1.0;0.0;0.09289617486338798;3.4819277108433737;1.0
Article_Title_Journal;0.0;0.86;0.86;0.9299999999999999;1.0;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;86.0;0.86;0.86;1.0;0.0;0.7543859649122807;528.2857142857143;1.0
Author;0.0;0.99;0.99;0.995;1.0;0.0;2.0;0.99;0.99498743710662;0.0;99.0;0.99;0.99;1.0;0.0;0.9801980198019802;9801.0;1.0
Article_NoTitle_NoJournal;0.0;0.17;0.17;0.585;1.0;0.0;0.024096385542168676;0.17;0.412310562561766;0.0;17.0;0.17;0.17;1.0;0.0;0.09289617486338798;3.4819277108433737;1.0
UntitledEntry;0.0;0.62;0.62;0.81;1.0;0.0;0.05263157894736842;0.62;0.7874007874011811;0.0;62.0;0.62;0.62;1.0;0.0;0.4492753623188406;101.15789473684211;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.88;0.88;0.94;1.0;0.0;0.16666666666666666;0.88;0.9380831519646858;0.0;88.0;0.88;0.88;1.0;0.0;0.7857142857142857;645.3333333333334;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.2222222222222222;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.8888888888888888;1.0;0.1111111111111111;0.4444444444444444;1.0
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5;0.5555555555555556;0.1111111111111111;0.4444444444444444;0.5555555555555556

OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.1958041958041958;0.46511627906976744;0.54;0.7325581395348837;1.0;0.31076581576026635;0.043478260869565216;0.46511627906976744;0.6819943394704735;0.3294345637345082;40.0;0.4;0.5805381334245654;0.5882352941176471;0.3294151850295497;0.3698630136986301;34.78260869565217;1.0
TitledEntry_Title_NoArticle;-0.07954545454545454;0.8526315789473684;0.81;0.8972460220318237;0.8526315789473684;-0.08338296605122096;0.09648600357355569;0.009265640446264652;0.8961361367114908;-0.0925631214715037;80.06666666666666;0.81;0.81;1.1728395061728396;0.0;0.680672268907563;345.3157894736842;0.4850299401197605
Article_NoTitle_Journal;0.06453362255965293;0.19767441860465115;0.31;0.5988372093023255;1.0;0.1820267686424474;0.028985507246376812;0.19767441860465115;0.44460591382105025;0.18259976182255006;17.0;0.17;0.31970943766657783;0.37777777777777777;0.18258575337083674;0.1834319526627219;4.188405797101449;1.0
Article_Title_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;86.0;0.86;1.0;0.0;0.9999169504194004;1.0;1.0;1.0
Author;0.11684782608695653;0.8686868686868687;0.87;0.9343434343434344;0.8686868686868687;0.13200306983883345;0.15384615384615385;0.8686868686868687;0.9320337272260424;0.24909649144269788;85.13333333333334;0.86;0.8799338178529535;0.0;0.24902436226255442;0.7699115044247787;568.9230769230769;0.5185185185185185
Article_NoTitle_NoJournal;0.06453362255965293;0.19767441860465115;0.31;0.5988372093023255;1.0;0.1820267686424474;0.028985507246376812;0.19767441860465115;0.44460591382105025;0.18259976182255006;17.0;0.17;0.31970943766657783;0.37777777777777777;0.18258575337083674;0.1834319526627219;4.188405797101449;1.0
UntitledEntry;0.03288201160541586;0.627906976744186;0.6;0.7494373593398349;0.8709677419354839;0.038202247191011236;0.040419161676646706;0.0011368084220506527;0.7395178981474486;0.04037458080047401;53.46666666666667;0.54;0.6428571428571429;0.9185185185185185;0.1923615812872488;0.42857142857142855;72.9;0.5235457063711911
Main;0.0;0.86;0.86;0.9299999999999999;0.86;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;85.06666666666666;0.86;0.86;0.0;0.0;0.7543859649122807;528.2857142857143;0.5
TitledEntry_NoTitle_NoArticle;0.2049469964664311;0.8863636363636364;0.82;0.8966701902748414;0.8863636363636364;0.20530973451327433;0.09974424552429667;0.007534477292541809;0.8966109552498205;0.20575139211410254;77.33333333333333;0.78;0.8416378471684415;0.967032967032967;0.27667561077755104;0.6949152542372882;338.0;0.5594262295081966
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.2777777777777778


Summary of the quality of the different techniques according to the EXAM metric

