;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL11;SrcManual.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['.concat(b.id).concat('] Manual ').concat(b.title) and p.section.title = 'References List')	and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;X;;X;X;;;;;X;;;;;X;;;X;X;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;X;X;X;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;X;X;;X;;X;X;;X;;;X;;;;;;X;;X;;X;;15.0;20.0;25.0;40.0;40.0;60.0;65.0;35.0;0.0425531914893617;0.375;0.55;0.4017857142857143;0.375;0.0427807486631016;0.01791044776119403;4.499190145773761E-5;0.40089186286863654;0.042796049251091296;14.621212121212121;0.15;0.46742346141747676;0.27586206896551724;0.2567653069658249;0.3793103448275862;5.0;0.527027027027027;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;34.0;1.0;61.0;4.0;95.0;5.0;65.0;35.0;0.023622047244094488;0.35789473684210527;0.38;0.6646616541353383;0.35789473684210527;0.05454545454545454;0.030493273542600896;0.0018849956951655406;0.5896347792764016;0.07214791053658227;33.07575757575758;0.34;0.4241231316036142;0.3321678321678322;0.13081562700746371;0.2345679012345679;18.64516129032258;0.5086306098964327;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;X;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;9.0;26.0;8.0;57.0;17.0;83.0;65.0;35.0;0.15211970074812967;0.2571428571428571;0.66;0.39327731092436974;0.5294117647058824;0.16549104720564298;0.024930747922437674;3.8935063524238515E-5;0.3689640277608545;0.17023373661404592;8.878787878787879;0.09;0.48209813802216805;0.12096332785987958;0.28631158325882017;0.4925373134328358;2.3823529411764706;0.676300578034682;
Article_Title_Journal;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;;;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;;X;X;31.0;4.0;55.0;10.0;86.0;14.0;65.0;35.0;0.029605263157894735;0.36046511627906974;0.41;0.6230897009966777;0.36046511627906974;0.051739005461339464;0.027324812692816218;4.3626491858052746E-4;0.5650390278467791;0.0543799201420046;30.166666666666668;0.31;0.4517075988238616;0.4562334217506631;0.18729729692018326;0.2578616352201258;16.28813559322034;0.5114213197969543;
Author;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;34.0;1.0;65.0;0.0;99.0;1.0;65.0;35.0;-0.02009273570324575;0.3434343434343434;0.34;0.6574314574314575;0.3434343434343434;-0.05475989890480202;0.02864363942712721;0.0017692072237526783;0.5776001502959757;-0.13696356726888637;33.015151515151516;0.34;0.34;2.911764705882353;0.0;0.20481927710843373;17.515151515151516;0.49275362318840576;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;X;;;X;;;X;;;;;;8.0;27.0;9.0;56.0;17.0;83.0;65.0;35.0;0.10224438902743142;0.22857142857142856;0.64;0.3495798319327731;0.47058823529411764;0.1112316874660879;0.020671834625323;2.6333633975654556E-5;0.3279680246763151;0.11441939674058824;7.863636363636363;0.08;0.4475647698834692;0.12259615384615384;0.2500342871344083;0.47058823529411764;1.7777777777777777;0.622754491017964;
UntitledEntry;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;X;;X;X;;X;;X;;X;;;X;;X;X;;X;X;X;X;X;;;X;;;;X;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;;X;;X;X;X;;X;X;X;X;X;;X;X;;X;20.0;15.0;42.0;23.0;62.0;38.0;65.0;35.0;-0.06343283582089553;0.3225806451612903;0.43;0.4470046082949308;0.32258064516129037;-0.07341826819261499;0.016666666666666666;6.347654700279614E-5;0.4293387907410918;-0.07342950115430036;19.363636363636363;0.2;0.42101184926002033;0.4754601226993865;0.19868300947971046;0.27388535031847133;7.017543859649122;0.4693140794223826;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;35.0;0.0;65.0;0.0;100.0;0.0;65.0;35.0;0.0;0.35;0.35;0.675;0.35;0.0;0.03076923076923077;0.35;0.5916079783099616;0.0;34.015151515151516;0.35;0.35;0.0;0.0;0.21212121212121213;18.846153846153847;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;33.0;2.0;55.0;10.0;88.0;12.0;65.0;35.0;0.07166123778501629;0.375;0.43;0.6589285714285714;0.375;0.13209246472530772;0.031413612565445025;9.87334197666301E-4;0.5946187253790689;0.14193843787544003;32.166666666666664;0.33;0.4730317144274571;0.2682926829268293;0.2128939214355956;0.27388535031847133;19.105263157894736;0.5270270270270271;
;Fail;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Fail;Fail;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Fail;Fail;Pass;Fail;Pass;Fail;Pass;Pass;Fail;Fail;Pass;Fail;Pass;
