In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.009900990099009901;0.025;0.6;0.2625;0.025000000000000022;0.015408320493066256;0.01694915254237288;2.563833032937563E-6;0.11180339887498948;0.029160592175990215;0.6060606060606061;0.01;0.17832665222857233;0.01652892561983471;0.08601120623063385;0.42857142857142855;0.025;0.5568181818181818
TitledEntry_Title_NoArticle;-0.018600531443755536;0.010869565217391304;0.08;0.2554347826086957;0.010869565217391353;-0.18025751072961374;0.0072992700729927005;1.098788805100138E-6;0.07372097807744857;-0.22116293423234568;0.08080808080808077;0.01;0.03811723219369849;0.1411042944785276;0.018425393312160587;0.041666666666666664;0.010869565217391304;0.35
Article_NoTitle_Journal;-0.03711790393013101;0.0;0.81;0.0;0.0;-0.042314872433105166;0.0;0.0;0.0;-0.06465280540789312;-0.1717171717171717;0.0;0.0;0.019988242210464434;0.0;0.680672268907563;0.0;0.0
Article_Title_Journal;0.006622516556291391;0.023255813953488372;0.16;0.5116279069767442;0.023255813953488413;0.04;0.023809523809523808;0.023255813953488372;0.15249857033260467;0.0576390417704235;1.1515151515151514;0.02;0.07987055106661933;0.0;0.057627179001217915;0.08695652173913043;0.047619047619047616;0.5384615384615384
Author;4.1220115416323167E-4;0.020202020202020204;0.03;0.51010101010101;0.02020202020202022;0.013559322033898305;0.020618556701030927;0.020202020202020204;0.1421338109037403;0.014357683075131602;1.0202020202020203;0.02;0.03400129763753344;0.0;0.014347383316001173;0.015228426395939087;0.041237113402061855;0.5025641025641026
Article_NoTitle_NoJournal;0.07205240174672489;0.058823529411764705;0.83;0.27941176470588236;0.05882352941176472;0.0821406347230865;0.04081632653061224;6.249296954092665E-6;0.17149858514250882;0.12550250461532192;0.8383838383838383;0.01;0.37165928656337227;0.011509817197020988;0.1558977094417655;0.7094017094017094;0.058823529411764705;0.7538461538461539
UntitledEntry;0.0247074122236671;0.03225806451612903;0.4;0.5161290322580645;0.032258064516129004;0.05956112852664577;0.03333333333333333;0.03225806451612903;0.1796053020267749;0.11184019446554466;1.393939393939394;0.02;0.15155729119556285;0.0;0.11182373869096432;0.25;0.06666666666666667;0.620253164556962
Main;0.0;0.02;0.02;0.51;0.020000000000000018;0.0;0.02040816326530612;0.02;0.1414213562373095;0.0;1.01010101010101;0.02;0.02;0.0;0.0;0.010101010101010102;0.04081632653061224;0.5
TitledEntry_NoTitle_NoArticle;0.005550416281221091;0.022727272727272728;0.14;0.5113636363636364;0.022727272727272707;0.038338658146964855;0.023255813953488372;0.022727272727272728;0.15075567228888181;0.05275349613399974;1.1313131313131313;0.02;0.07426324297392572;0.0;0.05274190313490337;0.07526881720430108;0.046511627906976744;0.532608695652174
EXAM-BC;0.8888888888888888;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.6666666666666666;0.6666666666666666;0.1111111111111111;0.6666666666666666;0.7777777777777778;0.8888888888888888;0.8888888888888888
EXAM-WC;0.8888888888888888;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.6666666666666666;0.1111111111111111;0.6666666666666666;0.7777777777777778;0.8888888888888888;0.8888888888888888
EXAM-AVG;0.8888888888888888;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.8888888888888888;0.8888888888888888;1.0;0.8888888888888888;0.7777777777777777;0.6666666666666666;0.1111111111111111;0.6666666666666666;0.7777777777777778;0.8888888888888888;0.8888888888888888

OCL8;SrcBook.allInstances()->select(b|b.oclIsTypeOf(SrcBook))->forAll(b | TrgPara.allInstances()->exists(p | p.content ='['+b.id+'] Book ' + b.title + ' ' + b.authors->iterate(e; str : String =  '' | str + e.author + ' ') + b.year + ' ' + b.publisher and p.section.title = 'References List') and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.029850746268656716;0.025;0.61;0.5125;0.025000000000000022;0.04801920768307323;0.05128205128205128;0.025;0.15811388300841897;0.12309149097933274;0.61;0.01;0.1831770785741419;0.0;0.12306624363363591;0.43884892086330934;0.02564102564102564;0.717391304347826
