;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL4;SrcOutgoing.allInstances()->forAll(o|TrgSIPMethodName.allInstances()->exists(smn|smn.name=SIPMethod::NOTIFY and TrgMethod.allInstances()->one(m|m.direction=Direction::out and m.methodName = smn)))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;1.0;3.0;8.0;88.0;9.0;91.0;96.0;4.0;0.10423452768729642;0.1111111111111111;0.89;0.18055555555555555;0.11111111111111116;0.10640066500415628;0.03389830508474576;4.166458343749479E-6;0.16666666666666666;0.11412279800291011;0.9175257731958762;0.01;0.48552047707349016;0.02186234817813765;0.15689087096466453;0.8018018018018018;0.09090909090909091;0.75;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;4.0;49.0;47.0;49.0;51.0;96.0;4.0;-0.07986960065199673;0.0;0.47;0.0;0.0;-0.13596947624002775;0.0;0.0;0.0;-0.2000816826662603;-0.5051546391752577;0.0;0.0;0.07316162747293767;0.0;0.30718954248366015;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;0.0;4.0;13.0;83.0;13.0;87.0;96.0;4.0;-0.06516290726817042;0.0;0.83;0.0;0.0;-0.06864686468646865;0.0;0.0;0.0;-0.07890534607899989;-0.13402061855670103;0.0;0.0;0.02983362019506598;0.0;0.7094017094017094;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;3.0;1.0;10.0;86.0;13.0;87.0;96.0;4.0;0.3107769423558897;0.23076923076923078;0.89;0.4903846153846154;0.23076923076923073;0.32739273927392737;0.11320754716981132;8.996221586933488E-5;0.41602514716892186;0.3763178043767687;2.8969072164948453;0.03;0.6340941540919497;0.012560386473429951;0.391432513011373;0.8018018018018018;0.8181818181818182;0.8780487804878049;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;3.0;1.0;37.0;59.0;40.0;60.0;96.0;4.0;0.06862745098039216;0.075;0.62;0.4125;0.07499999999999996;0.10057471264367816;0.031914893617021274;2.431624081724184E-5;0.23717082451262844;0.14583333333333334;2.618556701030928;0.03;0.30023744576775446;0.017361111111111112;0.18435579627122176;0.4492753623188406;0.23684210526315788;0.6605504587155963;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;4.0;33.0;63.0;33.0;67.0;96.0;4.0;-0.07683352735739232;0.0;0.63;0.0;0.0;-0.10173410404624278;0.0;0.0;0.0;-0.1432563717944214;-0.3402061855670103;0.0;0.0;0.05110336817653891;0.0;0.45985401459854014;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;4.0;12.0;84.0;12.0;88.0;96.0;4.0;-0.06382978723404255;0.0;0.84;0.0;0.0;-0.06666666666666667;0.0;0.0;0.0;-0.07537783614444091;-0.12371134020618557;0.0;0.0;0.02857142857142857;0.0;0.7241379310344828;0.0;0.0;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;4.0;0.0;40.0;56.0;44.0;56.0;96.0;4.0;0.10071942446043165;0.09090909090909091;0.6;0.5454545454545454;0.09090909090909094;0.15730337078651685;0.05;0.09090909090909091;0.30151134457776363;0.23028309323591914;3.5876288659793816;0.04;0.32165022306298513;0.0;0.23025942142707406;0.42857142857142855;0.4;0.7058823529411764;
Outgoing2Method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;;;0.0;4.0;6.0;90.0;6.0;94.0;96.0;4.0;-0.05042016806722689;0.0;0.9;0.0;0.0;-0.05063291139240506;0.0;0.0;0.0;-0.051571062312939675;-0.061855670103092786;0.0;0.0;0.01904761904761905;0.0;0.8181818181818182;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;2.0;2.0;20.0;76.0;22.0;78.0;96.0;4.0;0.0924092409240924;0.09090909090909091;0.78;0.29545454545454547;0.09090909090909094;0.10666666666666667;0.03225806451612903;9.998800143982723E-6;0.21320071635561041;0.1379728923974526;1.7938144329896908;0.02;0.3944203210628183;0.024070021881838075;0.18722586102727717;0.639344262295082;0.18181818181818182;0.7058823529411764;
