;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL32;SrcFailure.allInstances()->size()+SrcNotPresent.allInstances()->size()+SrcBusy.allInstances()->size()+SrcNoAnswer.allInstances()->size()+SrcRedirect.allInstances()->size()+SrcRedirection.allInstances()->size()=TrgErrorResponse.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;3.0;34.0;6.0;57.0;9.0;91.0;63.0;37.0;-0.01677681748856126;0.08108108108108109;0.6;0.2072072072072072;0.33333333333333337;-0.02095238095238095;0.011363636363636364;4.411485744283817E-6;0.1643989873053573;-0.023883658468871836;2.90625;0.03;0.2866912236143509;0.07083333333333333;0.12375181919874605;0.42857142857142855;0.225;0.4598540145985402;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;19.0;18.0;30.0;33.0;49.0;51.0;63.0;37.0;0.03498190591073583;0.3877551020408163;0.52;0.4506343077771649;0.3877551020408163;0.03602484472049689;0.019076305220883535;6.683609586110533E-5;0.4462258226859698;0.03604665648044304;18.53125;0.19;0.47848743305352043;0.35;0.2597737610998263;0.35135135135135137;7.520833333333333;0.5188556566970091;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;3.0;34.0;10.0;53.0;13.0;87.0;63.0;37.0;-0.08964834076275384;0.08108108108108109;0.56;0.15592515592515593;0.23076923076923073;-0.10456383593298671;0.007389162561576354;2.6469490529951554E-6;0.13678822577626595;-0.11147465466865185;2.84375;0.03;0.2618628728626408;0.10434372049102927;0.09791921845972001;0.3888888888888889;0.20454545454545456;0.3381037567084079;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;2.0;35.0;11.0;52.0;13.0;87.0;63.0;37.0;-0.13917781079742447;0.05405405405405406;0.54;0.10395010395010396;0.15384615384615385;-0.16233391103408434;0.004640371229698376;1.038935133046033E-6;0.09119215051751065;-0.17306286166790702;1.828125;0.02;0.20959536147751642;0.10625875758991125;0.06404779069063447;0.3698630136986301;0.08695652173913043;0.23639774859287058;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;19.0;18.0;21.0;42.0;40.0;60.0;63.0;37.0;0.17721518987341772;0.475;0.61;0.49425675675675673;0.475;0.17755231452124287;0.025384101536406144;9.54748113116229E-5;0.4938814826645346;0.17757120130114437;18.671875;0.19;0.5478202874366297;0.2631578947368421;0.3373710188109613;0.43884892086330934;9.256410256410257;0.6063829787234042;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;14.0;23.0;19.0;44.0;33.0;67.0;63.0;37.0;0.0785432207108381;0.3783783783783784;0.58;0.4013104013104013;0.4242424242424242;0.07881990312637605;0.019151846785225718;4.484321348298154E-5;0.40065466492249974;0.07884742649369007;13.703125;0.14;0.4803224548663619;0.23852922690131992;0.27132891263387504;0.4084507042253521;4.666666666666667;0.5564668769716089;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;3.0;34.0;9.0;54.0;12.0;88.0;63.0;37.0;-0.07178464606181456;0.08108108108108109;0.57;0.16554054054054054;0.25;-0.08503100088573959;0.008097165991902834;2.9410438352780167E-6;0.14237369936287486;-0.09178239713588017;2.859375;0.03;0.2678099532438013;0.09577464788732394;0.10324861594073186;0.3986013986013986;0.20930232558139536;0.3620689655172414;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;13.0;24.0;31.0;32.0;44.0;56.0;63.0;37.0;-0.13542526837324526;0.29545454545454547;0.45;0.3234029484029484;0.2954545454545454;-0.1368091762252346;0.011802088061733999;2.2712355144899453E-5;0.32219303811279626;-0.13686183393592402;12.515625;0.13;0.37780044985513606;0.37183098591549296;0.17357361999069792;0.2903225806451613;3.0727272727272728;0.4165818921668362;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;2.0;35.0;8.0;55.0;10.0;90.0;63.0;37.0;-0.08585858585858586;0.05405405405405406;0.57;0.12702702702702703;0.19999999999999996;-0.10523057876818323;0.006191950464396285;1.4285255116799818E-6;0.10397504898200728;-0.11736984468911557;1.875;0.02;0.22505890585543872;0.08027522935779817;0.07593995064577302;0.3986013986013986;0.09302325581395349;0.29857819905213273;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;7.0;30.0;15.0;48.0;22.0;78.0;63.0;37.0;-0.05337078651685393;0.1891891891891892;0.55;0.2536855036855037;0.31818181818181823;-0.056338028169014086;0.011522633744855968;1.0888008170005804E-5;0.24534987303147357;-0.05700002850002138;6.765625;0.07;0.36016200383954866;0.1732283464566929;0.16799168441164264;0.3793103448275862;1.0888888888888888;0.4427710843373494;
