;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL27;SrcBusy.allInstances()->size() = TrgResponseConstant.allInstances()->collect(rc | rc.response)->flatten()->select(r | TrgClientErrorResponse.allInstances()->select(cer|cer.errorKind=ClientErrorKind::BUSY_HERE)->includes(r))->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;5.0;8.0;4.0;83.0;9.0;91.0;87.0;13.0;0.3896236012207528;0.38461538461538464;0.88;0.4700854700854701;0.5555555555555556;0.39282051282051283;0.08064516129032258;7.810425355764875E-5;0.4622501635210242;0.3979472616861542;4.954545454545454;0.05;0.6789001154796798;0.042352941176470586;0.43115132128194866;0.7857142857142857;2.0833333333333335;0.893223819301848;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;7.0;6.0;42.0;45.0;49.0;51.0;87.0;13.0;0.025578562728380026;0.14285714285714285;0.52;0.34065934065934067;0.1428571428571429;0.03471074380165289;0.016666666666666666;1.944147421921651E-5;0.2773500981126146;0.03747366058909428;6.5227272727272725;0.07;0.3401902172569538;0.11893203883495146;0.18735715856679033;0.35135135135135137;1.0208333333333333;0.5272727272727272;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;13.0;0.0;0.0;87.0;13.0;87.0;87.0;13.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;1.0;12.0;12.0;75.0;13.0;87.0;87.0;13.0;-0.0610079575596817;0.07692307692307693;0.76;0.07692307692307693;0.07692307692307687;-0.0610079575596817;0.00641025641025641;6.944323883265916E-7;0.07692307692307693;-0.0610079575596817;0.8636363636363636;0.01;0.28699290346957324;0.05752212389380531;0.0663071346476881;0.6129032258064516;0.041666666666666664;0.3580246913580247;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;3.0;10.0;37.0;50.0;40.0;60.0;87.0;13.0;-0.10328638497652583;0.075;0.53;0.1528846153846154;0.07499999999999996;-0.12461059190031153;0.00681044267877412;2.43233382430442E-6;0.1315587028960544;-0.13353212413369211;2.5795454545454546;0.03;0.24494897427831783;0.1388888888888889;0.09103910434343454;0.36054421768707484;0.19148936170212766;0.35175202156334234;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;4.0;9.0;29.0;58.0;33.0;67.0;87.0;13.0;-0.01549973276322822;0.12121212121212122;0.62;0.21445221445221446;0.12121212121212122;-0.017354877318970677;0.011869436201780416;6.129873632655063E-6;0.19312181983410703;-0.018338859537866306;3.6704545454545454;0.04;0.33603051961204766;0.10753077480086894;0.1467015992683685;0.4492753623188406;0.42105263157894735;0.4800000000000001;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;7.0;6.0;5.0;82.0;12.0;88.0;87.0;13.0;0.49725776965265084;0.5384615384615384;0.89;0.5608974358974359;0.5833333333333333;0.4974851394604481;0.10218978102189781;1.632647621332374E-4;0.560448538317805;0.4977779308813556;6.943181818181818;0.07;0.7378349275374373;0.05013927576601671;0.5251808639366162;0.8018018018018018;4.454545454545454;0.9035608308605341;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;7.0;6.0;37.0;50.0;44.0;56.0;87.0;13.0;0.056189640035118525;0.1590909090909091;0.57;0.34877622377622375;0.15909090909090906;0.07121001390820585;0.01879194630872483;2.206859278942509E-5;0.29268470350248177;0.07667579991738852;6.579545454545454;0.07;0.3741657386773941;0.10593900481540931;0.20964783187160163;0.3986013986013986;1.1395348837209303;0.5587155963302752;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;1.0;12.0;9.0;78.0;10.0;90.0;87.0;13.0;-0.029411764705882353;0.07692307692307693;0.79;0.08846153846153847;0.09999999999999998;-0.029542097488921712;0.008438818565400843;9.259070648560862E-7;0.08770580193070293;-0.02973505167250263;0.8977272727272727;0.01;0.31888418274109553;0.04640371229698376;0.07730347227269853;0.6528925619834711;0.047619047619047616;0.42647058823529416;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;13.0;0.0;9.0;78.0;22.0;78.0;87.0;13.0;0.6926229508196722;0.5909090909090909;0.91;0.7954545454545454;0.5909090909090908;0.7123287671232876;0.2222222222222222;0.5909090909090909;0.7687061147858074;0.7278602642426106;12.897727272727273;0.13;0.8328484907440908;0.0;0.7278080213886889;0.8348623853211009;18.77777777777778;0.90625;
