;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL18;SrcCPL.allInstances()->collect(c | c.subActions)->flatten()->size() = TrgService.allInstances()->collect(s|s.declarations)->flatten()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;11.0;9.0;80.0;9.0;91.0;89.0;11.0;-0.10987791342952276;0.0;0.8;0.0;0.0;-0.11012235817575083;0.0;0.0;0.0;-0.11056098464130519;-0.1;0.0;0.0;0.039919354838709675;0.0;0.6666666666666666;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;3.0;8.0;46.0;43.0;49.0;51.0;89.0;11.0;-0.0971149939049167;0.061224489795918366;0.46;0.16697588126159554;0.061224489795918324;-0.1374353076480736;0.0066815144766146995;2.4455385361169356E-6;0.1292191476761844;-0.15280002559377237;2.488888888888889;0.03;0.21003913504693256;0.14572490706319702;0.08246838152517098;0.2987012987012987;0.16666666666666666;0.3454075032341526;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;0.0;11.0;13.0;76.0;13.0;87.0;89.0;11.0;-0.13528855250709557;0.0;0.76;0.0;0.0;-0.13554502369668248;0.0;0.0;0.0;-0.1358981013219691;-0.14444444444444443;0.0;0.0;0.053759398496240604;0.0;0.6129032258064516;0.0;0.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;11.0;0.0;2.0;87.0;13.0;87.0;89.0;11.0;0.9053926206244087;0.8461538461538461;0.98;0.9230769230769231;0.8461538461538461;0.9071090047393365;1.0;0.8461538461538461;0.9198662110077999;0.909471908847024;10.977777777777778;0.11;0.9544786380799085;0.0;0.9093854866365321;0.9607843137254902;60.5;0.978021978021978;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;5.0;6.0;35.0;54.0;40.0;60.0;89.0;11.0;0.02843601895734597;0.125;0.59;0.2897727272727273;0.125;0.03551346552234389;0.016;1.1903458192674136E-5;0.2383656473113981;0.0391430158454744;4.611111111111111;0.05;0.34328209411232624;0.09345794392523364;0.17613208073658954;0.41843971631205673;0.6097560975609756;0.536144578313253;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;3.0;8.0;30.0;59.0;33.0;67.0;89.0;11.0;-0.03429504627109418;0.09090909090909091;0.62;0.18181818181818182;0.09090909090909094;-0.03949843260188088;0.010101010101010102;3.7498078223491045E-6;0.1574591643244434;-0.04282080547396305;2.6666666666666665;0.03;0.30023744576775446;0.09642074506939372;0.12029789593033975;0.4492753623188406;0.23684210526315788;0.44723618090452266;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;0.0;11.0;12.0;77.0;12.0;88.0;89.0;11.0;-0.12966601178781925;0.0;0.77;0.0;0.0;-0.12972972972972974;0.0;0.0;0.0;-0.12982269672237465;-0.13333333333333333;0.0;0.0;0.05042016806722689;0.0;0.6260162601626016;0.0;0.0;
CPL2Program;;;;;;;;;;;;;X;;;X;X;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;X;X;;X;X;;;;;X;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;1.0;10.0;15.0;74.0;16.0;84.0;89.0;11.0;-0.06473594548551959;0.0625;0.75;0.07670454545454546;0.0625;-0.0654326302195437;0.006153846153846154;6.66655111311404E-7;0.07537783614444091;-0.06625560317137491;0.8333333333333334;0.01;0.27750520211971036;0.06153846153846154;0.06450641109952844;0.6;0.04;0.35039370078740156;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;3.0;8.0;7.0;82.0;10.0;90.0;89.0;11.0;0.20212765957446807;0.2727272727272727;0.85;0.2863636363636364;0.30000000000000004;0.20223523150612027;0.03821656050955414;1.606987897595589E-5;0.28603877677367767;0.2024142111651878;2.922222222222222;0.03;0.5546898348765619;0.041884816753926704;0.262045219889415;0.7391304347826086;0.6;0.7761627906976745;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;1.0;10.0;21.0;68.0;22.0;78.0;89.0;11.0;-0.10085227272727272;0.045454545454545456;0.69;0.06818181818181818;0.045454545454545414;-0.10538033395176252;0.004434589800443459;4.7618322006521804E-7;0.0642824346533225;-0.10955655229957685;0.7666666666666666;0.01;0.2297411598203922;0.07862759113652609;0.05245965370768818;0.5267175572519084;0.03225806451612903;0.278125;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;11.0;0.0;89.0;0.0;100.0;89.0;11.0;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;X;;;;X;X;;;X;;X;;;;;;;;;;X;;;X;X;X;;;;;;;;;;X;;;;;;X;X;;X;;;X;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;4.0;7.0;17.0;72.0;21.0;79.0;89.0;11.0;0.12344777209642074;0.19047619047619047;0.76;0.27705627705627706;0.19047619047619047;0.1281273692191054;0.023952095808383235;1.3444112822994811E-5;0.2631806779839076;0.13260874523091787;3.811111111111111;0.04;0.46631755234566813;0.06504424778761062;0.22596640304371096;0.6129032258064516;0.6666666666666666;0.6556169429097606;
Proxy2Return;;;;X;;;;;;X;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;X;;;;;;;;1.0;10.0;6.0;83.0;7.0;93.0;89.0;11.0;0.027946537059538274;0.09090909090909091;0.84;0.11688311688311688;0.1428571428571429;0.02822085889570552;0.014705882352941176;1.6666194457823696E-6;0.11396057645963795;0.028810181602831737;0.9333333333333333;0.01;0.3872181420694601;0.03228782287822878;0.10395415561847218;0.7241379310344828;0.0625;0.5741935483870968;
