;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL2;SrcCPL.allInstances()->size() = TrgService.allInstances()->select(s|s.name='unnamed')->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;4.0;33.0;5.0;58.0;9.0;91.0;63.0;37.0;0.0340620233858668;0.10810810810810811;0.62;0.27627627627627627;0.4444444444444444;0.04253968253968254;0.016597510373443983;9.695982469663695E-6;0.2191986497404764;0.04849106416407312;3.921875;0.04;0.33603051961204766;0.06988235294117646;0.16789720499478997;0.4492753623188406;0.42105263157894735;0.5766590389016019;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;14.0;23.0;35.0;28.0;49.0;51.0;63.0;37.0;-0.16606353035786087;0.2857142857142857;0.42;0.33204633204633205;0.2857142857142857;-0.17101449275362318;0.011560693641618497;2.434477769740137E-5;0.3287979746107146;-0.17111803593589628;13.453125;0.14;0.36818476891630914;0.43513513513513513;0.16241038971472394;0.26582278481012656;3.3793103448275863;0.40514469453376206;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;5.0;32.0;8.0;55.0;13.0;87.0;63.0;37.0;0.009410599306587419;0.13513513513513514;0.6;0.2598752598752599;0.3846153846153846;0.01097631426920855;0.014044943820224719;9.764766768545733E-6;0.2279803762937766;0.011701759329858482;4.875;0.05;0.35047140461204573;0.10097087378640776;0.16935713884542772;0.42857142857142855;0.625;0.5155482815057283;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;11.0;26.0;2.0;61.0;13.0;87.0;63.0;37.0;0.3065874195146112;0.2972972972972973;0.72;0.5717255717255717;0.8461538461538461;0.35759676487579434;0.05339805825242718;2.325004947841108E-4;0.5015568278463085;0.3812310013253895;10.96875;0.11;0.5685914063898384;0.09441340782122905;0.4132314187828436;0.5625;4.321428571428571;0.9035202086049544;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;16.0;21.0;24.0;39.0;40.0;60.0;63.0;37.0;0.05063291139240506;0.4;0.55;0.41621621621621624;0.4;0.05072923272035511;0.018518518518518517;5.0783816467287284E-5;0.4159001959280291;0.050734628943184104;15.625;0.16;0.4766224216053315;0.28865979381443296;0.2638089169649622;0.3793103448275862;5.688888888888889;0.5316455696202532;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;11.0;26.0;22.0;41.0;33.0;67.0;63.0;37.0;-0.05309346204475647;0.2972972972972973;0.52;0.3153153153153153;0.33333333333333337;-0.05328049317481286;0.013157894736842105;2.115144627821074E-5;0.3148000938676784;-0.05329909835606982;10.65625;0.11;0.4017704646589355;0.258433734939759;0.19865152532122995;0.35135135135135137;2.5208333333333335;0.4598540145985402;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;3.0;34.0;9.0;54.0;12.0;88.0;63.0;37.0;-0.07178464606181456;0.08108108108108109;0.57;0.16554054054054054;0.25;-0.08503100088573959;0.008097165991902834;2.9410438352780167E-6;0.14237369936287486;-0.09178239713588017;2.859375;0.03;0.2678099532438013;0.09577464788732394;0.10324861594073186;0.3986013986013986;0.20930232558139536;0.3620689655172414;
CPL2Program;;;;;;;;;;;;;X;;;X;X;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;X;X;;X;X;;;;;X;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;9.0;28.0;7.0;56.0;16.0;84.0;63.0;37.0;0.14965986394557823;0.24324324324324326;0.65;0.4028716216216216;0.5625;0.1676190476190476;0.02545968882602546;4.131818265289258E-5;0.3698977214370539;0.1740122992212915;8.890625;0.09;0.47328774526712825;0.11851851851851852;0.2847313121185153;0.48148148148148145;2.3142857142857145;0.6864406779661018;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;7.0;30.0;3.0;60.0;10.0;90.0;63.0;37.0;0.16666666666666666;0.1891891891891892;0.67;0.4445945945945946;0.7;0.2042711234911792;0.0340632603406326;5.442751144088506E-5;0.3639126714370255;0.2278355808671067;6.953125;0.07;0.45449046657062164;0.07518796992481203;0.28995253882931515;0.5037593984962406;1.4848484848484849;0.7989130434782609;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;9.0;28.0;13.0;50.0;22.0;78.0;63.0;37.0;0.040262172284644196;0.24324324324324326;0.59;0.3261670761670762;0.40909090909090906;0.04250061774153694;0.016408386508659983;2.2249996566358556E-5;0.31544983675475174;0.043000021500016125;8.796875;0.09;0.4242640687119285;0.16639654240950838;0.2249888630513071;0.41843971631205673;1.975609756097561;0.5410305343511451;
