;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL3;SrcCPL.allInstances()->forAll(c|TrgService.allInstances()->exists(s|s.name='unnamed' and s.declarations->forAll(d|SrcSubAction.allInstances()->one(sA|d.name=sA.id))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;4.0;24.0;5.0;67.0;9.0;91.0;72.0;28.0;0.09261576971214018;0.14285714285714285;0.71;0.2936507936507936;0.4444444444444444;0.10440917107583775;0.02247191011235955;1.3331866827982255E-5;0.2519763153394848;0.11517931746210808;3.9315068493150687;0.04;0.41260713857320597;0.059226761721963256;0.2085517229414498;0.5503875968992248;0.5517241379310345;0.6728971962616822;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;11.0;17.0;38.0;34.0;49.0;51.0;72.0;28.0;-0.10976594027441484;0.22448979591836735;0.45;0.3086734693877551;0.22448979591836737;-0.12048726467331118;0.011597258829731154;1.8728545367811604E-5;0.29697208593582136;-0.1211826686248289;10.479452054794521;0.11;0.3555121492515707;0.3161290322580645;0.1666187460855024;0.2903225806451613;2.2;0.4267241379310344;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;5.0;23.0;8.0;64.0;13.0;87.0;72.0;28.0;0.08066429418742586;0.17857142857142858;0.69;0.2815934065934066;0.3846153846153846;0.08643152208452494;0.019120458891013385;1.3585627492962645E-5;0.2620712091804796;0.09006630416766254;4.890410958904109;0.05;0.4247385844466679;0.08373004760571269;0.21190668212120076;0.5267175572519084;0.8064516129032258;0.6164383561643837;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;10.0;18.0;3.0;69.0;13.0;87.0;72.0;28.0;0.37722419928825623;0.35714285714285715;0.79;0.5631868131868132;0.7692307692307692;0.4041944709246902;0.06289308176100629;1.850789361662749E-4;0.5241424183609592;0.42119242243112776;9.95890410958904;0.1;0.6333021126777686;0.08150470219435736;0.45692378332383915;0.6528925619834711;4.761904761904762;0.8955223880597014;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;12.0;16.0;28.0;44.0;40.0;60.0;72.0;28.0;0.03508771929824561;0.3;0.56;0.36428571428571427;0.30000000000000004;0.036231884057971016;0.016853932584269662;3.213803643739154E-5;0.35856858280031806;0.036369648372665396;11.616438356164384;0.12;0.44288459577864;0.22598870056497175;0.24002876705727014;0.3888888888888889;3.272727272727273;0.5242718446601942;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;7.0;21.0;26.0;46.0;33.0;67.0;72.0;28.0;-0.10536218250235184;0.21212121212121213;0.53;0.23106060606060608;0.21212121212121215;-0.10598533238703572;0.009852216748768473;8.973737715594049E-6;0.23028309323591914;-0.10609828970225015;6.6438356164383565;0.07;0.3467173658101538;0.2116030534351145;0.1525090678080299;0.36054421768707484;1.0425531914893618;0.40909090909090906;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;3.0;25.0;9.0;63.0;12.0;88.0;72.0;28.0;-0.021634615384615384;0.10714285714285714;0.66;0.17857142857142858;0.25;-0.0234375;0.010869565217391304;3.999802676401297E-6;0.1636634176769943;-0.02467318856099134;2.8767123287671232;0.03;0.33001925498770823;0.07911392405063292;0.1295253627127111;0.4925373134328358;0.2647058823529412;0.4615384615384615;
CPL2Program;;;;;;;;;;;;;X;;;X;X;;;;;;X;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;;;;X;X;;X;X;;;;;X;;;;;;;X;;;X;X;;;;;;;;;;;;;;;;;0.0;28.0;16.0;56.0;16.0;84.0;72.0;28.0;-0.2557077625570776;0.0;0.56;0.0;0.0;-0.26666666666666666;0.0;0.0;0.0;-0.2721655269759087;-0.2191780821917808;0.0;0.0;0.1111111111111111;0.0;0.3888888888888889;0.0;0.0;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;4.0;24.0;6.0;66.0;10.0;90.0;72.0;28.0;0.07407407407407407;0.14285714285714285;0.7;0.27142857142857146;0.4;0.0823045267489712;0.0196078431372549;1.111006182749407E-5;0.23904572186687872;0.08908708063747481;3.9178082191780823;0.04;0.4029622245270825;0.06557377049180328;0.1959770282180146;0.5384615384615384;0.5333333333333333;0.6315789473684211;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;9.0;19.0;13.0;59.0;22.0;78.0;72.0;28.0;0.15074309978768577;0.32142857142857145;0.68;0.3652597402597403;0.40909090909090906;0.15219721329046088;0.023017902813299233;3.2788623885743386E-5;0.3626203338114211;0.15269134983570065;8.821917808219178;0.09;0.5003391233003359;0.13144654088050314;0.2854744641360204;0.5151515151515151;2.53125;0.6403162055335969;
