In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0340620233858668;0.10810810810810811;0.62;0.27627627627627627;0.4444444444444444;0.04253968253968254;0.016597510373443983;9.695982469663695E-6;0.2191986497404764;0.04849106416407312;3.921875;0.04;0.33603051961204766;0.06988235294117646;0.16789720499478997;0.4492753623188406;0.42105263157894735;0.5766590389016019
SubCall2Return;-0.16606353035786087;0.2857142857142857;0.42;0.33204633204633205;0.2857142857142857;-0.17101449275362318;0.011560693641618497;2.434477769740137E-5;0.3287979746107146;-0.17111803593589628;13.453125;0.14;0.36818476891630914;0.43513513513513513;0.16241038971472394;0.26582278481012656;3.3793103448275863;0.40514469453376206
Busy2SelectCase;0.009410599306587419;0.13513513513513514;0.6;0.2598752598752599;0.3846153846153846;0.01097631426920855;0.014044943820224719;9.764766768545733E-6;0.2279803762937766;0.011701759329858482;4.875;0.05;0.35047140461204573;0.10097087378640776;0.16935713884542772;0.42857142857142855;0.625;0.5155482815057283
SubAction2Function;0.3065874195146112;0.2972972972972973;0.72;0.5717255717255717;0.8461538461538461;0.35759676487579434;0.05339805825242718;2.325004947841108E-4;0.5015568278463085;0.3812310013253895;10.96875;0.11;0.5685914063898384;0.09441340782122905;0.4132314187828436;0.5625;4.321428571428571;0.9035202086049544
Redirect2Return;0.05063291139240506;0.4;0.55;0.41621621621621624;0.4;0.05072923272035511;0.018518518518518517;5.0783816467287284E-5;0.4159001959280291;0.050734628943184104;15.625;0.16;0.4766224216053315;0.28865979381443296;0.2638089169649622;0.3793103448275862;5.688888888888889;0.5316455696202532
StringSwitch2SelectStat;-0.05309346204475647;0.2972972972972973;0.52;0.3153153153153153;0.33333333333333337;-0.05328049317481286;0.013157894736842105;2.115144627821074E-5;0.3148000938676784;-0.05329909835606982;10.65625;0.11;0.4017704646589355;0.258433734939759;0.19865152532122995;0.35135135135135137;2.5208333333333335;0.4598540145985402
NoAnswer2SelectCase;-0.07178464606181456;0.08108108108108109;0.57;0.16554054054054054;0.25;-0.08503100088573959;0.008097165991902834;2.9410438352780167E-6;0.14237369936287486;-0.09178239713588017;2.859375;0.03;0.2678099532438013;0.09577464788732394;0.10324861594073186;0.3986013986013986;0.20930232558139536;0.3620689655172414
CPL2Program;0.14965986394557823;0.24324324324324326;0.65;0.4028716216216216;0.5625;0.1676190476190476;0.02545968882602546;4.131818265289258E-5;0.3698977214370539;0.1740122992212915;8.890625;0.09;0.47328774526712825;0.11851851851851852;0.2847313121185153;0.48148148148148145;2.3142857142857145;0.6864406779661018
Outgoing2Method;0.16666666666666666;0.1891891891891892;0.67;0.4445945945945946;0.7;0.2042711234911792;0.0340632603406326;5.442751144088506E-5;0.3639126714370255;0.2278355808671067;6.953125;0.07;0.45449046657062164;0.07518796992481203;0.28995253882931515;0.5037593984962406;1.4848484848484849;0.7989130434782609
Proxy2Select;0.040262172284644196;0.24324324324324326;0.59;0.3261670761670762;0.40909090909090906;0.04250061774153694;0.016408386508659983;2.2249996566358556E-5;0.31544983675475174;0.043000021500016125;8.796875;0.09;0.4242640687119285;0.16639654240950838;0.2249888630513071;0.41843971631205673;1.975609756097561;0.5410305343511451
Failure2ErrorResponse;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0
AddressSwitch2SelectStat;0.05793688177107866;0.24324324324324326;0.6;0.3359073359073359;0.4285714285714286;0.061654135338345864;0.01744186046511628;2.4103979209871563E-5;0.32287320150037885;0.0625476189437451;8.8125;0.09;0.4320141150489918;0.15806451612903225;0.23339753861096144;0.42857142857142855;2.025;0.5608308605341247
Proxy2Return;0.0211231324059763;0.08108108108108109;0.62;0.2548262548262548;0.4285714285714286;0.02749832327297116;0.015544041450777202;6.617048605162915E-6;0.18641092980036;0.033282981659183294;2.9375;0.03;0.30023744576775446;0.05471264367816092;0.1436734040426409;0.4492753623188406;0.23684210526315788;0.5608308605341247
Default2SelectDefault;-0.0035122930255895636;0.10810810810810811;0.6;0.23587223587223588;0.36363636363636365;-0.004229607250755287;0.012861736334405145;6.925879240369565E-6;0.19827263883864385;-0.004633781564153746;3.890625;0.04;0.32165022306298513;0.08601895734597156;0.1482711949624954;0.42857142857142855;0.4;0.4931506849315069
SwitchedAddress2SelectCase;0.015151515151515152;0.10810810810810811;0.61;0.25405405405405407;0.4;0.018570102135561744;0.014492753623188406;8.080106172595108E-6;0.20795009796401456;0.020712325533373335;3.90625;0.04;0.32873971989581646;0.07790368271954674;0.15740280679305682;0.43884892086330934;0.41025641025641024;0.5316455696202532
NotPresent2ErrorResponse;-0.1583011583011583;0.2702702702702703;0.46;0.2702702702702703;0.2702702702702703;-0.1583011583011583;0.01001001001001001;1.3716216957633349E-5;0.2702702702702703;-0.1583011583011583;9.578125;0.1;0.34919110329083375;0.3135593220338983;0.15443352923512504;0.2987012987012987;1.8518518518518519;0.3867403314917128
Location2URIConstant;0.0;0.0;0.63;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45985401459854014;0.0;0.0
