;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL7;SrcSwitchedAddress.allInstances()->select(sa|not sa.is.oclIsUndefined())->forAll(sa | TrgStringConstant.allInstances()->one(st | st.value=sa.is))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;1.0;6.0;8.0;85.0;9.0;91.0;93.0;7.0;0.050203527815468114;0.1111111111111111;0.86;0.12698412698412698;0.11111111111111116;0.050340136054421766;0.01818181818181818;2.083268231201108E-6;0.1259881576697424;0.05067214384784019;0.9148936170212766;0.01;0.42195444572928875;0.031652989449003514;0.11639303888068948;0.7543859649122807;0.07142857142857142;0.6241610738255033;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;5.0;2.0;44.0;49.0;49.0;51.0;93.0;7.0;0.0638990638990639;0.10204081632653061;0.54;0.40816326530612246;0.10204081632653061;0.09968253968253968;0.024630541871921183;2.840086111410898E-5;0.26997462357801943;0.12309092350914322;4.531914893617021;0.05;0.30985309369903746;0.04149026248941575;0.1920695035572166;0.3698630136986301;0.5434782608695652;0.6015523932729624;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;4.0;3.0;9.0;84.0;13.0;87.0;93.0;7.0;0.33993399339933994;0.3076923076923077;0.88;0.43956043956043955;0.3076923076923077;0.3468013468013468;0.0784313725490196;5.9245215948812136E-5;0.4193139346887673;0.3601112446807438;3.904255319148936;0.04;0.6504545830264961;0.030660377358490566;0.3915316463361829;0.7857142857142857;1.3333333333333333;0.8551724137931034;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;7.0;13.0;80.0;13.0;87.0;93.0;7.0;-0.1001100110011001;0.0;0.8;0.0;0.0;-0.10213243546576879;0.0;0.0;0.0;-0.10605217885419964;-0.13829787234042554;0.0;0.0;0.04212962962962963;0.0;0.6666666666666666;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;2.0;5.0;38.0;55.0;40.0;60.0;93.0;7.0;-0.03864734299516908;0.05;0.57;0.16785714285714284;0.050000000000000044;-0.05244182235332678;0.008583690987124463;2.105163439626544E-6;0.11952286093343936;-0.06400204809830924;1.5957446808510638;0.02;0.22505890585543872;0.07547169811320754;0.0879957762477954;0.3986013986013986;0.09302325581395349;0.4115044247787611;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;2.0;5.0;31.0;62.0;33.0;67.0;93.0;7.0;-0.017524024872809497;0.06060606060606061;0.64;0.17316017316017315;0.06060606060606055;-0.02166317260656883;0.010471204188481676;2.5805186326347868E-6;0.1315903389919538;-0.02583906701247734;1.6702127659574468;0.02;0.26733260160891026;0.06465517241379311;0.10334765383393195;0.47058823529411764;0.1111111111111111;0.4615384615384615;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;2.0;5.0;10.0;83.0;12.0;88.0;93.0;7.0;0.13394919168591224;0.16666666666666666;0.85;0.22619047619047616;0.16666666666666663;0.13591095489162272;0.03076923076923077;7.999456036989485E-6;0.2182178902359924;0.13990574093942643;1.8936170212765957;0.02;0.49806082033233234;0.03592814371257485;0.20018579553223997;0.7391304347826086;0.26666666666666666;0.7265625;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;3.0;4.0;41.0;52.0;44.0;56.0;93.0;7.0;-0.003568242640499554;0.06818181818181818;0.55;0.24837662337662336;0.06818181818181823;-0.005136436597110754;0.012958963282937365;5.487323064316305E-6;0.1709408646894569;-0.006316538404076884;2.5638297872340425;0.03;0.2560753351284245;0.06875;0.12316277434957261;0.3793103448275862;0.2;0.4929328621908127;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;7.0;10.0;83.0;10.0;90.0;93.0;7.0;-0.08974358974358974;0.0;0.83;0.0;0.0;-0.09026434558349453;0.0;0.0;0.0;-0.09145054352812239;-0.10638297872340426;0.0;0.0;0.035140562248995984;0.0;0.7094017094017094;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;4.0;3.0;18.0;75.0;22.0;78.0;93.0;7.0;0.18981481481481483;0.18181818181818182;0.79;0.37662337662337664;0.18181818181818177;0.20785804816223066;0.041666666666666664;2.9624143677096834E-5;0.3223291856101521;0.23274800711670146;3.8085106382978724;0.04;0.5037866756598899;0.03642384105960265;0.2838121807441629;0.6528925619834711;0.7619047619047619;0.7469879518072289;
