;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL14;SrcProxy.allInstances()->select(p|p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined())->forAll(p|TrgVariable.allInstances()->forAll(v|TrgSelectStat.allInstances()->one(ss|ss.matchedExp=v and TrgCompoundStat.allInstances()->one(cs|cs.statements->includes(ss)))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;0.0;2.0;9.0;89.0;9.0;91.0;98.0;2.0;-0.03383458646616541;0.0;0.89;0.0;0.0;-0.035467980295566505;0.0;0.0;0.0;-0.04492649300236792;-0.09090909090909091;0.0;0.0;0.015557476231633534;0.0;0.8018018018018018;0.0;0.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;0.0;2.0;49.0;49.0;49.0;51.0;98.0;2.0;-0.0399673735725938;0.0;0.49;0.0;0.0;-0.07272727272727272;0.0;0.0;0.0;-0.140028008402801;-0.494949494949495;0.0;0.0;0.03773584905660377;0.0;0.32450331125827814;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;1.0;1.0;12.0;86.0;13.0;87.0;98.0;2.0;0.10220994475138122;0.07692307692307693;0.87;0.28846153846153844;0.07692307692307687;0.11152976639035418;0.05405405405405406;8.332361224523806E-6;0.19611613513818404;0.1571709874117996;0.8787878787878788;0.01;0.441427640376765;0.010788381742738589;0.18261938743878833;0.7699115044247787;0.07692307692307693;0.8032786885245902;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;1.0;1.0;12.0;86.0;13.0;87.0;98.0;2.0;0.10220994475138122;0.07692307692307693;0.87;0.28846153846153844;0.07692307692307687;0.11152976639035418;0.05405405405405406;8.332361224523806E-6;0.19611613513818404;0.1571709874117996;0.8787878787878788;0.01;0.441427640376765;0.010788381742738589;0.18261938743878833;0.7699115044247787;0.07692307692307693;0.8032786885245902;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;0.0;2.0;40.0;58.0;40.0;60.0;98.0;2.0;-0.039603960396039604;0.0;0.58;0.0;0.0;-0.061633281972265024;0.0;0.0;0.0;-0.11664236870396086;-0.40404040404040403;0.0;0.0;0.03134796238244514;0.0;0.4084507042253521;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;1.0;1.0;32.0;66.0;33.0;67.0;98.0;2.0;0.020190023752969122;0.030303030303030304;0.67;0.26515151515151514;0.030303030303030276;0.028250934773577065;0.020618556701030927;3.1246680040245723E-6;0.12309149097933272;0.051648356935749484;0.6767676767676767;0.01;0.2165993278467768;0.014699331848552339;0.10024334756882056;0.5037593984962406;0.030303030303030304;0.6049382716049383;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;1.0;1.0;11.0;87.0;12.0;88.0;98.0;2.0;0.11242603550295859;0.08333333333333333;0.88;0.2916666666666667;0.08333333333333337;0.12140575079872204;0.058823529411764705;9.089834837701E-6;0.20412414523193154;0.16705273775766585;0.8888888888888888;0.01;0.4625432760617778;0.01060070671378092;0.19118939886402472;0.7857142857142857;0.08333333333333333;0.8166666666666667;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;1.0;1.0;43.0;55.0;44.0;56.0;98.0;2.0;0.0054249547920434;0.022727272727272728;0.56;0.26136363636363635;0.022727272727272707;0.009022556390977444;0.015384615384615385;2.32533804601844E-6;0.10660035817780521;0.017267634943401007;0.5656565656565656;0.01;0.16056483930568993;0.017770597738287562;0.07913193997848868;0.3888888888888889;0.022727272727272728;0.532608695652174;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;1.0;1.0;9.0;89.0;10.0;90.0;98.0;2.0;0.13793103448275862;0.1;0.9;0.3;0.09999999999999998;0.145985401459854;0.07142857142857142;1.1109753252380265E-5;0.22360679774997896;0.19047619047619047;0.9090909090909091;0.01;0.5106191037676887;0.01020408163265306;0.21185432039990476;0.8181818181818182;0.1;0.8448275862068966;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;1.0;1.0;21.0;77.0;22.0;78.0;98.0;2.0;0.04844290657439446;0.045454545454545456;0.78;0.2727272727272727;0.045454545454545414;0.058577405857740586;0.03125;4.761383277069654E-6;0.15075567228888181;0.09656090991705352;0.7878787878787878;0.01;0.3076310100058112;0.012415349887133182;0.132748361309952;0.639344262295082;0.045454545454545456;0.7;
