In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL21;SrcSubAction.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->collect(lfd|TrgSimpleType.allInstances()->select(st|st=lfd.returnType)->asSequence()->first())->flatten()->select(st | st.type = PrimitiveType::response)->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.1190233977619532;0.0;0.78;0.0;0.0;-0.12;0.0;0.0;0.0;-0.12156613477096617;-0.10227272727272728;0.0;0.0;0.04285714285714286;0.0;0.639344262295082;0.0;0.0
SubCall2Return;-0.09622411693057248;0.08163265306122448;0.46;0.1946624803767661;0.08163265306122447;-0.1305785123966942;0.007797270955165692;3.95039098994823E-6;0.15848577035006547;-0.14097234221611657;3.4886363636363638;0.04;0.239023778294133;0.1644295302013423;0.09992381790228817;0.2987012987012987;0.2962962962962963;0.3729903536977492
Busy2SelectCase;-0.0610079575596817;0.07692307692307693;0.76;0.07692307692307693;0.07692307692307687;-0.0610079575596817;0.00641025641025641;6.944323883265916E-7;0.07692307692307693;-0.0610079575596817;0.8636363636363636;0.01;0.28699290346957324;0.05752212389380531;0.0663071346476881;0.6129032258064516;0.041666666666666664;0.3580246913580247
SubAction2Function;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Redirect2Return;-0.009389671361502348;0.125;0.57;0.2548076923076923;0.125;-0.011328235627301049;0.012903225806451613;8.927806188041026E-6;0.21926450482675733;-0.01213928401215383;4.6022727272727275;0.05;0.32942963128849084;0.1188707280832095;0.15780111419528653;0.3986013986013986;0.5813953488372093;0.48876404494382025
StringSwitch2SelectStat;-0.0689470871191876;0.09090909090909091;0.6;0.16083916083916083;0.09090909090909094;-0.07719928186714542;0.008333333333333333;2.9998710055467615E-6;0.14484136487558028;-0.08157630622016392;2.659090909090909;0.03;0.2866912236143509;0.11458333333333333;0.10812919601246128;0.42857142857142855;0.225;0.4009216589861751
NoAnswer2SelectCase;-0.051188299817184646;0.07692307692307693;0.77;0.08012820512820512;0.08333333333333337;-0.051211705532693184;0.006968641114982578;7.575619837215081E-7;0.08006407690254357;-0.0512418458260219;0.875;0.01;0.297018702805742;0.05389221556886228;0.06953614226338473;0.6260162601626016;0.043478260869565216;0.3782608695652174
CPL2Program;0.31957857769973663;0.29545454545454547;0.69;0.6477272727272727;0.2954545454545454;0.4050069541029207;0.06451612903225806;0.29545454545454547;0.543557306504609;0.4360936120301471;12.647727272727273;0.13;0.5632663318877372;0.0;0.4360674902929314;0.5267175572519084;5.451612903225806;0.7372881355932204
Outgoing2Method;0.2647058823529412;0.3076923076923077;0.85;0.35384615384615387;0.4;0.2658788774002954;0.047619047619047616;2.9625460120427496E-5;0.3508232077228117;0.26761546505252365;3.9318181818181817;0.04;0.5945945945945946;0.045454545454545456;0.3211067309789016;0.7391304347826086;1.0666666666666667;0.8169014084507041
Proxy2Select;-0.05874316939890711;0.09090909090909091;0.69;0.12237762237762238;0.09090909090909094;-0.06041447137337548;0.00796812749003984;1.8181272743635873E-6;0.11826247919781652;-0.061731738387440345;1.7727272727272727;0.02;0.30455596228952564;0.08533145275035262;0.09617975825057626;0.5267175572519084;0.12903225806451613;0.40092165898617516
Failure2ErrorResponse;0.0;0.0;0.87;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7699115044247787;0.0;0.0
AddressSwitch2SelectStat;0.1590749824807288;0.23809523809523808;0.76;0.31135531135531136;0.23809523809523814;0.16272401433691755;0.026595744680851064;1.9529037726195078E-5;0.30261376633440124;0.16571864045544382;4.818181818181818;0.05;0.49834289784774183;0.0726643598615917;0.2591445940647647;0.6129032258064516;1.0416666666666667;0.6765163297045101
Proxy2Return;0.11991199119911991;0.15384615384615385;0.84;0.21978021978021978;0.2857142857142857;0.122334455667789;0.028169014084507043;7.27225127082591E-6;0.20965696734438366;0.1270295329132721;1.9431818181818181;0.02;0.48062484748656975;0.03443649373881932;0.19110473214027976;0.7241379310344828;0.25;0.7280334728033473
Default2SelectDefault;-0.04068117313150426;0.07692307692307693;0.78;0.08391608391608392;0.09090909090909094;-0.04075829383886256;0.007633587786259542;8.333173614172395E-7;0.08362420100070908;-0.04086446403387882;0.8863636363636364;0.01;0.3076310100058112;0.050190114068441066;0.0731689472006405;0.639344262295082;0.045454545454545456;0.40092165898617516
SwitchedAddress2SelectCase;-0.029411764705882353;0.07692307692307693;0.79;0.08846153846153847;0.09999999999999998;-0.029542097488921712;0.008438818565400843;9.259070648560862E-7;0.08770580193070293;-0.02973505167250263;0.8977272727272727;0.01;0.31888418274109553;0.04640371229698376;0.07730347227269853;0.6528925619834711;0.047619047619047616;0.42647058823529416
NotPresent2ErrorResponse;-0.13917781079742447;0.05405405405405406;0.54;0.10395010395010396;0.05405405405405406;-0.16233391103408434;0.004640371229698376;1.038935133046033E-6;0.09119215051751065;-0.17306286166790702;1.6022727272727273;0.02;0.20959536147751642;0.1363027461486939;0.06404779069063447;0.3698630136986301;0.08695652173913043;0.27662957074721783
Location2URIConstant;0.0;0.0;0.87;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7699115044247787;0.0;0.0
Otherwise2SelectDefault;0.10962715637173066;0.1935483870967742;0.68;0.32754342431761785;0.19354838709677424;0.12048929663608562;0.02214022140221402;2.056874875730476E-5;0.29888128883203074;0.12665709749682333;5.715909090909091;0.06;0.44141198573092266;0.08821138211382114;0.23915437161909636;0.5151515151515151;1.125;0.6162927981109799
Incoming2Method;0.07407407407407407;0.1875;0.77;0.2091346153846154;0.1875;0.07434343434343435;0.0182370820668693;6.92266156338312E-6;0.20801257358446093;0.07462028278336501;2.852272727272727;0.03;0.4376481977803542;0.06472491909385113;0.18004738325262784;0.6260162601626016;0.391304347826087;0.6069767441860465
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.9210526315789473;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL21;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL21;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL21;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.9210526315789473;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842
