In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL26;SrcProxy.allInstances()->select(p|not (p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined()))->size() = TrgVariableDeclaration.allInstances()->select(vd|vd.name='r')->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.5192307692307693;0.4090909090909091;0.87;0.7045454545454546;1.0;0.5538461538461539;0.15384615384615385;0.4090909090909091;0.6396021490668313;0.5921565254637922;9.0;0.09;0.7319326890514403;0.05454545454545454;0.5921065796269124;0.7699115044247787;6.230769230769231;1.0
SubCall2Return;-0.03155339805825243;0.20408163265306123;0.49;0.3293135435992579;0.20408163265306123;-0.03701067615658363;0.013831258644536652;2.1364736647573714E-5;0.30457245193658633;-0.03766628887890313;9.50632911392405;0.1;0.36840867624278184;0.2281722933643772;0.1883223502867615;0.32450331125827814;1.9607843137254901;0.47619047619047616
Busy2SelectCase;0.6926229508196722;0.5909090909090909;0.91;0.7954545454545454;1.0;0.7123287671232876;0.2222222222222222;0.5909090909090909;0.7687061147858074;0.7278602642426106;13.0;0.13;0.8328484907440908;0.07692307692307693;0.7278080213886889;0.8348623853211009;18.77777777777778;1.0
SubAction2Function;-0.05874316939890711;0.09090909090909091;0.69;0.12237762237762238;0.15384615384615385;-0.06041447137337548;0.00796812749003984;1.8181272743635873E-6;0.11826247919781652;-0.061731738387440345;1.860759493670886;0.02;0.30455596228952564;0.07520971940989297;0.09617975825057626;0.5267175572519084;0.12903225806451613;0.3919597989949749
Redirect2Return;-0.036036036036036036;0.2;0.54;0.28181818181818186;0.19999999999999996;-0.038872691933916424;0.012658227848101266;1.4284336867516347E-5;0.26967994498529685;-0.03942082639927218;7.594936708860759;0.08;0.37144152287658566;0.19498607242339833;0.18132686636800124;0.3698630136986301;1.391304347826087;0.46987951807228917
StringSwitch2SelectStat;0.08596837944664032;0.2727272727272727;0.63;0.34090909090909094;0.2727272727272727;0.08861726508785332;0.018808777429467086;2.595809402213937E-5;0.3340213285613425;0.08932977399808735;8.69620253164557;0.09;0.45624545051950816;0.15228966986155484;0.24949449100241927;0.45985401459854014;2.189189189189189;0.5707317073170731
NoAnswer2SelectCase;0.6518105849582173;0.5454545454545454;0.9;0.7727272727272727;1.0;0.6753246753246753;0.2;0.5454545454545454;0.7385489458759964;0.6953208427626525;12.0;0.12;0.809864666337241;0.07142857142857142;0.6952691937069138;0.8181818181818182;14.4;1.0
CPL2Program;0.05660377358490566;0.25;0.56;0.375;0.25;0.06315789473684211;0.01818181818181818;3.332777870354941E-5;0.3535533905932738;0.06419407387663695;10.582278481012658;0.11;0.43041035584846943;0.1864406779661017;0.24071607056373925;0.3888888888888889;2.75;0.5416666666666666
Outgoing2Method;0.057971014492753624;0.13636363636363635;0.74;0.21818181818181817;0.30000000000000004;0.06116207951070336;0.01744186046511628;6.76647467421304E-6;0.20225995873897262;0.06437393994470234;2.911392405063291;0.03;0.40359475716956533;0.05842558425584256;0.17138182444867667;0.5873015873015873;0.34615384615384615;0.6030927835051546
Proxy2Select;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;22.0;0.22;1.0;0.0;0.9999417283375095;1.0;1.0;1.0
Failure2ErrorResponse;0.0;0.0;0.78;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.639344262295082;0.0;0.0
AddressSwitch2SelectStat;0.08175355450236967;0.2727272727272727;0.69;0.2792207792207792;0.2857142857142857;0.08177777777777778;0.018018018018018018;1.499861262833188E-5;0.27914526311954124;0.0817894431979271;5.810126582278481;0.06;0.4507657769444309;0.1099116781157998;0.22401867603288825;0.5267175572519084;1.1612903225806452;0.5864661654135338
Proxy2Return;0.26697530864197533;0.22727272727272727;0.81;0.4707792207792208;0.7142857142857143;0.29235318969159274;0.06134969325153374;7.350346936375396E-5;0.4029114820126901;0.3273610181397508;4.974683544303797;0.05;0.5631540056262277;0.04218362282878412;0.35949542894260633;0.680672268907563;1.3157894736842106;0.8986175115207373
Default2SelectDefault;0.609375;0.5;0.89;0.75;1.0;0.636734693877551;0.18181818181818182;0.5;0.7071067811865476;0.6619684638946263;11.0;0.11;0.7855400873013642;0.0658682634730539;0.6619173953117127;0.8018018018018018;11.0;1.0
SwitchedAddress2SelectCase;0.13043478260869565;0.18181818181818182;0.76;0.2909090909090909;0.4;0.13761467889908258;0.02564102564102564;1.4813278622957619E-5;0.26967994498529685;0.14484136487558028;3.9240506329113924;0.04;0.46631755234566813;0.05813953488372093;0.23172753728271772;0.6129032258064516;0.6666666666666666;0.7027027027027027
NotPresent2ErrorResponse;-0.05337078651685393;0.1891891891891892;0.55;0.2536855036855037;0.18918918918918914;-0.056338028169014086;0.011522633744855968;1.0888008170005804E-5;0.24534987303147357;-0.05700002850002138;6.620253164556962;0.07;0.36016200383954866;0.18592964824120603;0.16799168441164264;0.3793103448275862;1.0888888888888888;0.4527363184079602
Location2URIConstant;0.0;0.0;0.78;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.639344262295082;0.0;0.0
Otherwise2SelectDefault;0.11077235772357724;0.2903225806451613;0.65;0.3497067448680352;0.29032258064516125;0.11309987029831388;0.020293122886133032;2.831775740142274E-5;0.3446278114803676;0.1137869507916948;8.721518987341772;0.09;0.47328774526712825;0.14367201426024956;0.2630533486017013;0.48148148148148145;2.3142857142857145;0.5919055649241147
Incoming2Method;-0.09819121447028424;0.09090909090909091;0.66;0.10795454545454546;0.125;-0.09934640522875816;0.006369426751592357;1.4285346948221332E-6;0.10660035817780521;-0.10008876069649389;1.8227848101265822;0.02;0.2813921994567482;0.09153318077803203;0.0842797225253505;0.4925373134328358;0.11764705882352941;0.33620689655172414
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8947368421052632;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.2631578947368421
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.9473684210526316;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.15789473684210525


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL26;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8947368421052632;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL26;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.3684210526315789;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.2631578947368421

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL26;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.2631578947368421;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.9473684210526316;0.05263157894736842;0.05263157894736842;0.6842105263157895;0.15789473684210525
