In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL13;SrcOtherwise.allInstances()->size() + SrcDefault.allInstances()->size() + SrcAddressSwitch.allInstances()->size() = TrgSelectDefault.allInstances()->size() + TrgSIPHeaderPlace.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.09766454352441614;0.16666666666666666;0.83;0.19444444444444442;0.2222222222222222;0.09813333333333334;0.022988505747126436;5.713975527042818E-6;0.19245008972987526;0.0989267900343976;1.9213483146067416;0.02;0.46419434695016853;0.040779338468509285;0.17417844450143086;0.7094017094017094;0.23529411764705882;0.6769230769230768
SubCall2Return;-0.03574329813160033;0.10204081632653061;0.49;0.2593537414965986;0.10204081632653061;-0.04950773558368495;0.011481056257175661;8.116145285493527E-6;0.20619652471058064;-0.054171091332811526;4.50561797752809;0.05;0.2799904820589018;0.13258600695786626;0.1354193921771858;0.32450331125827814;0.49019607843137253;0.45454545454545453
Busy2SelectCase;0.04021937842778794;0.15384615384615385;0.79;0.16025641025641024;0.15384615384615385;0.040237768632830365;0.015267175572519083;3.6362115766067963E-6;0.16012815380508713;0.04026145029187435;1.8764044943820224;0.02;0.40694172417548796;0.0540091400083091;0.14090218300738486;0.6528925619834711;0.19047619047619047;0.5714285714285715
SubAction2Function;0.1316270566727605;0.23076923076923078;0.81;0.2403846153846154;0.23076923076923073;0.13168724279835392;0.02531645569620253;9.999266720440502E-6;0.24019223070763068;0.1317647464097706;2.8876404494382024;0.03;0.490576449099155;0.052917232021709636;0.21409812223200037;0.680672268907563;0.47368421052631576;0.6875
Redirect2Return;0.009433962264150943;0.125;0.58;0.27083333333333337;0.125;0.011574074074074073;0.014285714285714285;1.020310296767453E-5;0.22821773229381923;0.012562972690740151;4.606741573033708;0.05;0.33627081534783315;0.10638297872340426;0.16644893268532837;0.4084507042253521;0.5952380952380952;0.5116279069767442
StringSwitch2SelectStat;0.11003236245954692;0.18181818181818182;0.67;0.34090909090909094;0.18181818181818177;0.1248852157943067;0.022988505747126436;2.2219012809260883E-5;0.30151134457776363;0.13350693849893747;5.696629213483146;0.06;0.43231789913454266;0.08198757763975155;0.23951147963810263;0.5037593984962406;1.0909090909090908;0.6197183098591549
NoAnswer2SelectCase;0.05303030303030303;0.16666666666666666;0.8;0.16666666666666666;0.16666666666666663;0.05303030303030303;0.016666666666666666;3.999824007743659E-6;0.16666666666666666;0.05303030303030303;1.8876404494382022;0.02;0.42012170712175595;0.05084745762711865;0.14771328472682513;0.6666666666666666;0.2;0.5945945945945946
CPL2Program;0.11971830985915492;0.18181818181818182;0.6;0.4242424242424242;0.18181818181818177;0.15454545454545454;0.02631578947368421;4.443259575224385E-5;0.3481553119113957;0.16862291518235775;7.595505617977528;0.08;0.4151711452197275;0.07586206896551724;0.25787788346990315;0.42857142857142855;1.6;0.6197183098591549
Outgoing2Method;-0.02040816326530612;0.08333333333333333;0.8;0.09166666666666667;0.09999999999999998;-0.02044989775051125;0.009174311926605505;1.0100795841704367E-6;0.09128709291752768;-0.020515248496555456;0.898876404494382;0.01;0.330839470569922;0.044715447154471545;0.08102692012438774;0.6666666666666666;0.05;0.44897959183673464
Proxy2Select;0.0947075208913649;0.18181818181818182;0.74;0.25757575757575757;0.18181818181818177;0.09812409812409813;0.02040816326530612;1.111018526233925E-5;0.24618298195866545;0.1010295241620948;3.797752808988764;0.04;0.4436503448350311;0.07296849087893864;0.20798651093796564;0.5873015873015873;0.6153846153846154;0.6197183098591549
