In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcBusy.allInstances()->size() + SrcNoAnswer.allInstances()->size() + SrcRedirection.allInstances()->size() + SrcSwitchedAddress.allInstances()->size() =  TrgSelectCase.allInstances()->select(sc|(sc.commentsBefore=Sequence{'// busy'} or sc.commentsBefore=Sequence{'// noanswer'} or sc.commentsBefore=Sequence{'// redirection'})) -> size() + TrgSelectCase.allInstances()->select(sc|sc.values->first().oclIsTypeOf(TrgStringConstant))->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.33460076045627374;0.25;0.93;0.4583333333333333;0.6666666666666667;0.3427458617332035;0.15384615384615385;6.66466726648672E-5;0.4082482904638631;0.3803008237823714;1.989247311827957;0.02;0.688760762944314;0.01506276150627615;0.39318066610948815;0.8691588785046729;0.5714285714285714;0.9583333333333334
SubCall2Return;-0.03742880390561432;0.061224489795918366;0.49;0.2181122448979592;0.061224489795918324;-0.05687789799072643;0.009787928221859706;3.912767883305611E-6;0.15152288168283162;-0.06783686856197386;2.5053763440860215;0.03;0.22430322042764841;0.09455808568120416;0.10174780039495877;0.32450331125827814;0.17647058823529413;0.42857142857142855
Busy2SelectCase;0.3128964059196617;0.3076923076923077;0.87;0.40384615384615385;0.3076923076923077;0.31708623460096413;0.06451612903225806;4.443605096815046E-5;0.3922322702763681;0.32443036968709427;3.903225806451613;0.04;0.6309006265639123;0.036440084092501754;0.3638482378185296;0.7699115044247787;1.2307692307692308;0.8363636363636364
SubAction2Function;-0.10993657505285412;0.0;0.79;0.0;0.0;-0.11140867702196036;0.0;0.0;0.0;-0.11398904880897907;-0.13978494623655913;0.0;0.0;0.04539502400698385;0.0;0.6528925619834711;0.0;0.0
Redirect2Return;0.038461538461538464;0.1;0.6;0.3;0.09999999999999998;0.05102040816326531;0.017857142857142856;1.1109753252380265E-5;0.22360679774997896;0.060192926542884606;3.6129032258064515;0.04;0.32165022306298513;0.06451612903225806;0.16852751411472994;0.42857142857142855;0.4;0.5609756097560976
StringSwitch2SelectStat;0.020156774916013438;0.09090909090909091;0.65;0.23295454545454547;0.09090909090909094;0.024431625381744145;0.014814814814814815;5.999544034653367E-6;0.1846372364689991;0.028220793591998528;2.6774193548387095;0.03;0.3222069629527066;0.06613226452905811;0.1457960044504698;0.48148148148148145;0.2571428571428571;0.5348837209302325
NoAnswer2SelectCase;0.4469026548672566;0.4166666666666667;0.9;0.5208333333333334;0.41666666666666663;0.45089285714285715;0.10869565217391304;1.1900511722004047E-4;0.5103103630798288;0.4582584679543963;4.924731182795699;0.05;0.719223593595585;0.03214285714285714;0.4820241577114243;0.8181818181818182;2.5;0.8914728682170543
CPL2Program;0.021352313167259787;0.09090909090909091;0.56;0.29545454545454547;0.09090909090909094;0.03;0.016129032258064516;9.998800143982723E-6;0.21320071635561041;0.03564363423913181;3.5698924731182795;0.04;0.2951226261839991;0.07006369426751592;0.1544442797124537;0.3888888888888889;0.36363636363636365;0.5348837209302326
Outgoing2Method;0.024390243902439025;0.1;0.84;0.1125;0.09999999999999998;0.02444987775061125;0.014084507042253521;1.587258756509745E-6;0.11180339887498948;0.02457365935914952;0.9032258064516129;0.01;0.3872181420694601;0.03653444676409186;0.10196815768660816;0.7241379310344828;0.0625;0.5609756097560976
Proxy2Select;0.47129909365558914;0.36363636363636365;0.86;0.6818181818181819;0.36363636363636365;0.5089722675367048;0.14285714285714285;0.36363636363636365;0.6030226891555273;0.5552480484044199;7.849462365591398;0.08;0.7020008006406407;0.0;0.5551986456857511;0.7543859649122807;4.571428571428571;0.8679245283018868
Failure2ErrorResponse;0.0;0.0;0.92;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8518518518518519;0.0;0.0
AddressSwitch2SelectStat;-0.0530421216848674;0.047619047619047616;0.73;0.08630952380952381;0.04761904761904767;-0.056784968684759914;0.006514657980456026;7.142714288571371E-7;0.07715167498104596;-0.06153848673798626;0.7849462365591398;0.01;0.25997555773095704;0.059877800407331976;0.06515250156617138;0.5748031496062992;0.037037037037037035;0.3650793650793651
Proxy2Return;0.06340057636887608;0.125;0.87;0.13392857142857142;0.1428571428571429;0.06344628695025234;0.020618556701030927;2.3808730185184304E-6;0.1336306209562122;0.06356576456629896;0.935483870967742;0.01;0.441427640376765;0.028372900984365953;0.12422422981561641;0.7699115044247787;0.07692307692307693;0.6571428571428571
Default2SelectDefault;0.3619489559164733;0.36363636363636365;0.89;0.4318181818181818;0.36363636363636365;0.3638483965014577;0.08;5.713061486824252E-5;0.42640143271122083;0.36755669768276295;3.924731182795699;0.04;0.6710436690396215;0.03408210689388071;0.40049537415520264;0.8018018018018018;1.4545454545454546;0.8679245283018868
SwitchedAddress2SelectCase;0.024390243902439025;0.1;0.84;0.1125;0.09999999999999998;0.02444987775061125;0.014084507042253521;1.587258756509745E-6;0.11180339887498948;0.02457365935914952;0.9032258064516129;0.01;0.3872181420694601;0.03653444676409186;0.10196815768660816;0.7241379310344828;0.0625;0.5609756097560976
NotPresent2ErrorResponse;0.0020470829068577278;0.08108108108108109;0.61;0.22804054054054054;0.08108108108108103;0.0026084121291164004;0.01312910284463895;5.293725288596257E-6;0.17437145811572893;0.0030538657931575876;2.6344086021505375;0.03;0.29336184425952444;0.07206856252434748;0.1328330206469062;0.43884892086330934;0.23076923076923078;0.5036496350364964
Location2URIConstant;0.0;0.0;0.92;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8518518518518519;0.0;0.0
