In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL11;SrcSubAction.allInstances()->size() + SrcOutgoing.allInstances()->size() + SrcCPL.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->size() + TrgMethod.allInstances()->select(m|m.direction=Direction::out)->size() + TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.011627906976744186;0.1;0.83;0.10555555555555556;0.11111111111111116;0.011634671320535195;0.012422360248447204;1.3888541675347006E-6;0.10540925533894598;0.011647609296910203;0.9120879120879121;0.01;0.37165928656337227;0.037832788416627745;0.09549927285248042;0.7094017094017094;0.058823529411764705;0.5294117647058824
SubCall2Return;-0.15853658536585366;0.02040816326530612;0.43;0.06020408163265306;0.020408163265306145;-0.2294792586054722;0.002171552660152009;2.3147837366998314E-7;0.045175395145262566;-0.2600520156052018;0.4725274725274725;0.01;0.11601511734173632;0.15857605177993528;0.028003734391438922;0.27388535031847133;0.017543859649122806;0.15789473684210528
Busy2SelectCase;-0.029411764705882353;0.07692307692307693;0.79;0.08846153846153847;0.07692307692307687;-0.029542097488921712;0.008438818565400843;9.259070648560862E-7;0.08770580193070293;-0.02973505167250263;0.8681318681318682;0.01;0.31888418274109553;0.04980842911877394;0.07730347227269853;0.6528925619834711;0.047619047619047616;0.4285714285714286
SubAction2Function;0.2647058823529412;0.3076923076923077;0.85;0.35384615384615387;0.3076923076923077;0.2658788774002954;0.047619047619047616;2.9625460120427496E-5;0.3508232077228117;0.26761546505252365;3.901098901098901;0.04;0.5945945945945946;0.04521739130434783;0.3211067309789016;0.7391304347826086;1.0666666666666667;0.8
Redirect2Return;0.047619047619047616;0.125;0.6;0.3125;0.125;0.06060606060606061;0.01818181818181818;1.4283877787141652E-5;0.25;0.06804138174397717;4.615384615384615;0.05;0.35047140461204573;0.08;0.1871010691806644;0.42857142857142855;0.625;0.5625
StringSwitch2SelectStat;-0.016483516483516484;0.09090909090909091;0.63;0.19545454545454544;0.09090909090909094;-0.019286403085824494;0.011299435028248588;4.2854694017484715E-6;0.1651445647689541;-0.02126697050295567;2.67032967032967;0.03;0.30732893732743194;0.08680947012401354;0.12759277797824853;0.45985401459854014;0.24324324324324326;0.4736842105263158
NoAnswer2SelectCase;-0.02040816326530612;0.08333333333333333;0.8;0.09166666666666667;0.08333333333333337;-0.02044989775051125;0.009174311926605505;1.0100795841704367E-6;0.09128709291752768;-0.020515248496555456;0.8791208791208791;0.01;0.330839470569922;0.04695652173913043;0.08102692012438774;0.6666666666666666;0.05;0.45000000000000007
CPL2Program;0.24778761061946902;0.22727272727272727;0.66;0.6136363636363636;0.2272727272727273;0.3329369797859691;0.058823529411764705;0.22727272727272727;0.4767312946227962;0.37605071654517747;9.626373626373626;0.1;0.49751951344589224;0.0;0.3760254657155665;0.4925373134328358;2.9411764705882355;0.7258064516129032
Outgoing2Method;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0.1;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Proxy2Select;0.057971014492753624;0.13636363636363635;0.74;0.21818181818181817;0.13636363636363635;0.06116207951070336;0.01744186046511628;6.76647467421304E-6;0.20225995873897262;0.06437393994470234;2.791208791208791;0.03;0.40359475716956533;0.06514382402707276;0.17138182444867667;0.5873015873015873;0.34615384615384615;0.5869565217391305
Failure2ErrorResponse;0.0;0.0;0.9;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8181818181818182;0.0;0.0
AddressSwitch2SelectStat;0.06716417910447761;0.14285714285714285;0.75;0.22142857142857142;0.1428571428571429;0.07033997655334115;0.01834862385321101;7.142380984124868E-6;0.20701966780270628;0.07365429242103545;2.802197802197802;0.03;0.41447792503076886;0.06322580645161291;0.1767558364481908;0.6;0.36;0.6
Proxy2Return;0.2948717948717949;0.3;0.89;0.36428571428571427;0.4285714285714286;0.29658284977433913;0.06741573033707865;3.213803643739154E-5;0.35856858280031806;0.3004803573066879;2.956043956043956;0.03;0.6340941540919497;0.03123008285532186;0.3370165456518256;0.8018018018018018;0.8181818181818182;0.8709677419354839
Default2SelectDefault;-0.010638297872340425;0.09090909090909091;0.81;0.09545454545454546;0.09090909090909094;-0.010643959552953698;0.010050251256281407;1.111086420301771E-6;0.09534625892455924;-0.010653379535009885;0.8901098901098901;0.01;0.34356614465620006;0.044019564250778125;0.08521795768761463;0.680672268907563;0.05263157894736842;0.4736842105263158
SwitchedAddress2SelectCase;0.0;0.1;0.82;0.1;0.09999999999999998;0.0;0.011111111111111112;1.2345389429136847E-6;0.1;0.0;0.9010989010989011;0.01;0.35714285714285715;0.040983606557377046;0.08999000111098766;0.6949152542372882;0.05555555555555555;0.5
NotPresent2ErrorResponse;-0.08585858585858586;0.05405405405405406;0.57;0.12702702702702703;0.05405405405405406;-0.10523057876818323;0.006191950464396285;1.4285255116799818E-6;0.10397504898200728;-0.11736984468911557;1.6153846153846154;0.02;0.22505890585543872;0.10492733073378235;0.07593995064577302;0.3986013986013986;0.09302325581395349;0.339622641509434
Location2URIConstant;0.0;0.0;0.9;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8181818181818182;0.0;0.0
Otherwise2SelectDefault;0.05172413793103448;0.12903225806451613;0.67;0.2645161290322581;0.12903225806451613;0.059230009871668314;0.017543859649122806;9.87564099082306E-6;0.2271847336988259;0.06486581250966159;3.7032967032967035;0.04;0.3758807158377699;0.07496977025392987;0.18161118574135918;0.5037593984962406;0.48484848484848486;0.5714285714285715
Incoming2Method;0.38596491228070173;0.375;0.86;0.4875;0.375;0.39215686274509803;0.07317073170731707;8.997300809757072E-5;0.4743416490252569;0.40006613209931935;5.8901098901098905;0.06;0.6659420974638371;0.04371584699453552;0.43639610154007424;0.7543859649122807;2.5714285714285716;0.8437500000000001
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842

OCL22;TrgLocalFunctionDeclaration.allInstances()->collect(lfd|lfd.statements)->flatten()->size() <= SrcSubAction.allInstances()->collect(sa|sa.contents)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.09254498714652956;0.0;0.83;0.0;0.0;-0.09260450160771704;0.0;0.0;0.0;-0.09273670016027795;-0.0967741935483871;0.0;0.0;0.03469879518072289;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;0.0032546786004882017;0.08163265306122448;0.51;0.29081632653061223;0.08163265306122447;0.004945904173106646;0.014388489208633094;8.887842098597276E-6;0.20203050891044214;0.005898858135823814;3.5161290322580645;0.04;0.26549185457432367;0.07818109293976865;0.138612945465596;0.3422818791946309;0.32653061224489793;0.5054945054945055
Busy2SelectCase;-0.004228329809725159;0.07692307692307693;0.81;0.10096153846153846;0.07692307692307687;-0.004284949116229245;0.0106951871657754;1.1904478464798456E-6;0.09805806756909202;-0.0043841941849607335;0.8709677419354839;0.01;0.34356614465620006;0.043603258265452804;0.08767427417313965;0.680672268907563;0.05263157894736842;0.4893617021276595
SubAction2Function;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;0.6153846153846154;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;7.946236559139785;0.08;0.8730378376039294;0.0;0.762766185306315;0.9047619047619048;12.8;0.9484536082474226
Redirect2Return;-0.009615384615384616;0.075;0.58;0.225;0.07499999999999996;-0.012755102040816327;0.012096774193548387;4.864509887116346E-6;0.16770509831248423;-0.015048231635721152;2.6021505376344085;0.03;0.27392460661501905;0.07692307692307693;0.12413857066486804;0.4084507042253521;0.21428571428571427;0.4825174825174825
StringSwitch2SelectStat;-0.03583426651735722;0.06060606060606061;0.63;0.1553030303030303;0.06060606060606055;-0.043434000678656264;0.008968609865470852;2.1504474543540646E-6;0.12309149097933272;-0.05017029971910849;1.6666666666666667;0.02;0.2606707345503421;0.07514231499051234;0.0956296373277275;0.45985401459854014;0.10810810810810811;0.425925925925926
NoAnswer2SelectCase;0.004424778761061947;0.08333333333333333;0.82;0.10416666666666666;0.08333333333333337;0.004464285714285714;0.011627906976744186;1.29866925361582E-6;0.10206207261596577;0.004537212554003923;0.8817204301075269;0.01;0.35714285714285715;0.04133858267716536;0.09186813358735381;0.6949152542372882;0.05555555555555555;0.5111111111111111
CPL2Program;0.199288256227758;0.18181818181818182;0.64;0.5909090909090909;0.18181818181818177;0.28;0.05555555555555555;0.18181818181818182;0.42640143271122083;0.33267391956523024;7.612903225806452;0.08;0.4475647698834692;0.0;0.33264921784220797;0.47058823529411764;1.7777777777777777;0.71875
Outgoing2Method;0.14634146341463414;0.2;0.86;0.225;0.19999999999999996;0.1466992665036675;0.03225806451612903;8.332777814812346E-6;0.22360679774997896;0.14744195615489714;1.913978494623656;0.02;0.5165993131297737;0.03546099290780142;0.20639337941385746;0.7543859649122807;0.2857142857142857;0.7419354838709677
Proxy2Select;-0.05740181268882175;0.045454545454545456;0.72;0.08522727272727273;0.045454545454545414;-0.06199021207177814;0.006211180124223602;6.802586887741671E-7;0.07537783614444091;-0.06762636486976908;0.7741935483870968;0.01;0.2518599917518676;0.06179775280898876;0.06317164077514155;0.5625;0.03571428571428571;0.3538461538461538
