;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL17;SrcCPL.allInstances()->collect(c | c.outgoing)->flatten()->select(o|o.oclIsTypeOf(SrcOutgoing))->size() = TrgDialog.allInstances()->collect(d | d.methods)->flatten()->select(m | m.direction = Direction::out)->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;X;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;1.0;9.0;6.0;84.0;7.0;93.0;90.0;10.0;0.038461538461538464;0.1;0.85;0.12142857142857143;0.1428571428571429;0.03868471953578337;0.016260162601626018;1.8517969837930729E-6;0.11952286093343936;0.03919309008348103;0.9340659340659341;0.01;0.4039376212132279;0.03111111111111111;0.10972631718896649;0.7391304347826086;0.06666666666666667;0.6;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;1.0;9.0;48.0;42.0;49.0;51.0;90.0;10.0;-0.15853658536585366;0.02040816326530612;0.43;0.06020408163265306;0.020408163265306145;-0.2294792586054722;0.002171552660152009;2.3147837366998314E-7;0.045175395145262566;-0.2600520156052018;0.4725274725274725;0.01;0.11601511734173632;0.15857605177993528;0.028003734391438922;0.27388535031847133;0.017543859649122806;0.15789473684210528;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;1.0;9.0;12.0;78.0;13.0;87.0;90.0;10.0;-0.029411764705882353;0.07692307692307693;0.79;0.08846153846153847;0.07692307692307687;-0.029542097488921712;0.008438818565400843;9.259070648560862E-7;0.08770580193070293;-0.02973505167250263;0.8681318681318682;0.01;0.31888418274109553;0.04980842911877394;0.07730347227269853;0.6528925619834711;0.047619047619047616;0.4285714285714286;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;4.0;6.0;9.0;81.0;13.0;87.0;90.0;10.0;0.2647058823529412;0.3076923076923077;0.85;0.35384615384615387;0.3076923076923077;0.2658788774002954;0.047619047619047616;2.9625460120427496E-5;0.3508232077228117;0.26761546505252365;3.901098901098901;0.04;0.5945945945945946;0.04521739130434783;0.3211067309789016;0.7391304347826086;1.0666666666666667;0.8;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;5.0;5.0;35.0;55.0;40.0;60.0;90.0;10.0;0.047619047619047616;0.125;0.6;0.3125;0.125;0.06060606060606061;0.01818181818181818;1.4283877787141652E-5;0.25;0.06804138174397717;4.615384615384615;0.05;0.35047140461204573;0.08;0.1871010691806644;0.42857142857142855;0.625;0.5625;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;3.0;7.0;30.0;60.0;33.0;67.0;90.0;10.0;-0.016483516483516484;0.09090909090909091;0.63;0.19545454545454544;0.09090909090909094;-0.019286403085824494;0.011299435028248588;4.2854694017484715E-6;0.1651445647689541;-0.02126697050295567;2.67032967032967;0.03;0.30732893732743194;0.08680947012401354;0.12759277797824853;0.45985401459854014;0.24324324324324326;0.4736842105263158;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;1.0;9.0;11.0;79.0;12.0;88.0;90.0;10.0;-0.02040816326530612;0.08333333333333333;0.8;0.09166666666666667;0.08333333333333337;-0.02044989775051125;0.009174311926605505;1.0100795841704367E-6;0.09128709291752768;-0.020515248496555456;0.8791208791208791;0.01;0.330839470569922;0.04695652173913043;0.08102692012438774;0.6666666666666666;0.05;0.45000000000000007;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;10.0;0.0;34.0;56.0;44.0;56.0;90.0;10.0;0.24778761061946902;0.22727272727272727;0.66;0.6136363636363636;0.2272727272727273;0.3329369797859691;0.058823529411764705;0.22727272727272727;0.4767312946227962;0.37605071654517747;9.626373626373626;0.1;0.49751951344589224;0.0;0.3760254657155665;0.4925373134328358;2.9411764705882355;0.7258064516129032;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;10.0;0.0;0.0;90.0;10.0;90.0;90.0;10.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0.1;1.0;0.0;0.9998889012331963;1.0;1.0;1.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;3.0;7.0;19.0;71.0;22.0;78.0;90.0;10.0;0.057971014492753624;0.13636363636363635;0.74;0.21818181818181817;0.13636363636363635;0.06116207951070336;0.01744186046511628;6.76647467421304E-6;0.20225995873897262;0.06437393994470234;2.791208791208791;0.03;0.40359475716956533;0.06514382402707276;0.17138182444867667;0.5873015873015873;0.34615384615384615;0.5869565217391305;
