;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL6;SrcBusy.allInstances()->forAll(b|TrgSelectCase.allInstances()->exists(sc|if(b.contents.oclIsTypeOf(SrcSubCall))then (TrgReturnStat.allInstances()->exists(rs|sc.statements->includes(rs) and TrgFunctionCallExp.allInstances()->exists(fce|fce=rs.returnedValue and TrgFunctionCall.allInstances()->exists(fc|fc=fce.functionCall))))else true endif))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;1.0;0.0;8.0;91.0;9.0;91.0;99.0;1.0;0.18533604887983707;0.1111111111111111;0.92;0.5555555555555556;0.11111111111111116;0.19825708061002179;0.25;0.1111111111111111;0.3333333333333333;0.3195816569607348;0.92;0.01;0.5684863886644348;0.0;0.3194694629164412;0.8518518518518519;0.125;0.925233644859813;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;1.0;0.0;48.0;51.0;49.0;51.0;99.0;1.0;0.0208078335373317;0.02040816326530612;0.52;0.5102040816326531;0.020408163265306145;0.03926096997690531;0.041666666666666664;0.02040816326530612;0.14285714285714285;0.10253436608075334;0.52;0.01;0.14501641045534333;0.0;0.10251375591805213;0.35135135135135137;0.020833333333333332;0.673469387755102;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;1.0;0.0;12.0;87.0;13.0;87.0;99.0;1.0;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;0.07692307692307687;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;0.88;0.01;0.4625432760617778;0.0;0.2599205300510161;0.7857142857142857;0.08333333333333333;0.891891891891892;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;0.0;1.0;13.0;86.0;13.0;87.0;99.0;1.0;-0.018922852983988356;0.0;0.86;0.0;0.0;-0.02113821138211382;0.0;0.0;0.0;-0.03885030678041737;-0.13;0.0;0.0;0.010077519379844961;0.0;0.7543859649122807;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;0.0;1.0;40.0;59.0;40.0;60.0;99.0;1.0;-0.01990049751243781;0.0;0.59;0.0;0.0;-0.03201280512204882;0.0;0.0;0.0;-0.08206099398622183;-0.4;0.0;0.0;0.016142050040355124;0.0;0.41843971631205673;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;0.0;1.0;33.0;66.0;33.0;67.0;99.0;1.0;-0.01979604079184163;0.0;0.66;0.0;0.0;-0.02857142857142857;0.0;0.0;0.0;-0.07053456158585983;-0.33;0.0;0.0;0.014285714285714285;0.0;0.4925373134328358;0.0;0.0;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;1.0;0.0;11.0;88.0;12.0;88.0;99.0;1.0;0.13793103448275862;0.08333333333333333;0.89;0.5416666666666666;0.08333333333333337;0.1523809523809524;0.18181818181818182;0.08333333333333333;0.2886751345948129;0.2721655269759087;0.89;0.01;0.48552047707349016;0.0;0.27208137791727094;0.8018018018018018;0.09090909090909091;0.8999999999999999;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;0.0;1.0;44.0;55.0;44.0;56.0;99.0;1.0;-0.019945602901178604;0.0;0.55;0.0;0.0;-0.034334763948497854;0.0;0.0;0.0;-0.0890870806374748;-0.44;0.0;0.0;0.017391304347826087;0.0;0.3793103448275862;0.0;0.0;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;0.0;1.0;10.0;89.0;10.0;90.0;99.0;1.0;-0.018518518518518517;0.0;0.89;0.0;0.0;-0.02002002002002002;0.0;0.0;0.0;-0.0335012605086404;-0.1;0.0;0.0;0.009363295880149813;0.0;0.8018018018018018;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;1.0;0.0;21.0;78.0;22.0;78.0;99.0;1.0;0.06914893617021277;0.045454545454545456;0.79;0.5227272727272727;0.045454545454545414;0.0859504132231405;0.09523809523809523;0.045454545454545456;0.21320071635561041;0.18924236358783025;0.79;0.01;0.31888418274109553;0.0;0.18919646104235574;0.6528925619834711;0.047619047619047616;0.825;
