;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL9;SrcSubCall.allInstances()->size() = TrgFunctionCallExp.allInstances()->size() and SrcSubCall.allInstances()->size() = TrgFunctionCall.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;3.0;46.0;6.0;45.0;9.0;91.0;51.0;49.0;-0.057340382269215125;0.061224489795918366;0.48;0.19727891156462585;0.33333333333333337;-0.08499095840867993;0.00847457627118644;3.260674633581688E-6;0.14285714285714285;-0.09855848832108864;2.8846153846153846;0.03;0.21944131557382598;0.09102902374670185;0.09435791451067685;0.3157894736842105;0.17307692307692307;0.3422818791946309;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;49.0;0.0;0.0;51.0;49.0;51.0;51.0;49.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;49.0;0.49;1.0;0.0;0.9999599855948141;1.0;1.0;1.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;7.0;42.0;6.0;45.0;13.0;87.0;51.0;49.0;0.025578562728380026;0.14285714285714285;0.52;0.34065934065934067;0.5384615384615384;0.03471074380165289;0.016666666666666666;1.944147421921651E-5;0.2773500981126146;0.03747366058909428;6.884615384615385;0.07;0.3401902172569538;0.12569060773480664;0.18735715856679033;0.35135135135135137;1.0208333333333333;0.5483870967741936;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;4.0;45.0;9.0;42.0;13.0;87.0;51.0;49.0;-0.09622411693057248;0.08163265306122448;0.46;0.1946624803767661;0.3076923076923077;-0.1305785123966942;0.007797270955165692;3.95039098994823E-6;0.15848577035006547;-0.14097234221611657;3.826923076923077;0.04;0.239023778294133;0.13485477178423236;0.09992381790228817;0.2987012987012987;0.2962962962962963;0.3162790697674418;
Redirect2Return;;;X;;;X;;X;X;X;;X;;X;;;;X;X;X;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;X;;;;;X;;;X;X;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;X;X;;;X;;X;X;;;X;X;X;20.0;29.0;20.0;31.0;40.0;60.0;51.0;49.0;0.01606425702811245;0.40816326530612246;0.51;0.45408163265306123;0.5;0.016329863237395388;0.018691588785046728;6.894911210780883E-5;0.45175395145262565;0.01633319858500084;19.615384615384617;0.2;0.4781671481774682;0.3869246164109406;0.253154241021285;0.3422818791946309;8.16326530612245;0.51;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;11.0;38.0;22.0;29.0;33.0;67.0;51.0;49.0;-0.20821586790173177;0.22448979591836735;0.4;0.2789115646258503;0.33333333333333337;-0.21953290870488323;0.009433962264150943;1.447233219001909E-5;0.2735506022160966;-0.2199444682939898;10.576923076923077;0.11;0.32478489325910737;0.38466257668711656;0.13570464339887622;0.25;2.0166666666666666;0.3422818791946308;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;4.0;45.0;8.0;43.0;12.0;88.0;51.0;49.0;-0.07636068237205523;0.08163265306122448;0.47;0.2074829931972789;0.33333333333333337;-0.10576652601969058;0.008583690987124463;4.444162980788995E-6;0.1649572197684645;-0.11572914966555191;3.8461538461538463;0.04;0.2440976547208359;0.12289485662266728;0.10587334297489072;0.30718954248366015;0.3018867924528302;0.3422818791946309;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;18.0;31.0;26.0;25.0;44.0;56.0;51.0;49.0;-0.14274258219727345;0.3673469387755102;0.43;0.38821892393320967;0.40909090909090906;-0.14346161595808987;0.013646702047005308;4.019177929255026E-5;0.3876574430285532;-0.14346518350309598;17.5;0.18;0.4075657190007722;0.4945612762871646;0.1813391319977763;0.27388535031847133;5.684210526315789;0.41879562043795626;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;1.0;48.0;9.0;42.0;10.0;90.0;51.0;49.0;-0.15853658536585366;0.02040816326530612;0.43;0.06020408163265306;0.09999999999999998;-0.2294792586054722;0.002171552660152009;2.3147837366998314E-7;0.045175395145262566;-0.2600520156052018;0.8269230769230769;0.01;0.11601511734173632;0.10767160161507403;0.028003734391438922;0.27388535031847133;0.017543859649122806;0.10365853658536585;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;10.0;39.0;12.0;39.0;22.0;78.0;51.0;49.0;-0.03155339805825243;0.20408163265306123;0.49;0.3293135435992579;0.4545454545454546;-0.03701067615658363;0.013831258644536652;2.1364736647573714E-5;0.30457245193658633;-0.03766628887890313;9.76923076923077;0.1;0.36840867624278184;0.22;0.1883223502867615;0.32450331125827814;1.9607843137254901;0.4644808743169399;
