In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcBusy.allInstances()->forAll(b|TrgSelectCase.allInstances()->exists(sc|if(b.contents.oclIsTypeOf(SrcSubCall))then (TrgReturnStat.allInstances()->exists(rs|sc.statements->includes(rs) and TrgFunctionCallExp.allInstances()->exists(fce|fce=rs.returnedValue and TrgFunctionCall.allInstances()->exists(fc|fc=fce.functionCall))))else true endif))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.18533604887983707;0.1111111111111111;0.92;0.5555555555555556;0.11111111111111116;0.19825708061002179;0.25;0.1111111111111111;0.3333333333333333;0.3195816569607348;0.92;0.01;0.5684863886644348;0.0;0.3194694629164412;0.8518518518518519;0.125;0.925233644859813
SubCall2Return;0.0208078335373317;0.02040816326530612;0.52;0.5102040816326531;0.020408163265306145;0.03926096997690531;0.041666666666666664;0.02040816326530612;0.14285714285714285;0.10253436608075334;0.52;0.01;0.14501641045534333;0.0;0.10251375591805213;0.35135135135135137;0.020833333333333332;0.673469387755102
Busy2SelectCase;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;0.07692307692307687;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;0.88;0.01;0.4625432760617778;0.0;0.2599205300510161;0.7857142857142857;0.08333333333333333;0.891891891891892
SubAction2Function;-0.018922852983988356;0.0;0.86;0.0;0.0;-0.02113821138211382;0.0;0.0;0.0;-0.03885030678041737;-0.13;0.0;0.0;0.010077519379844961;0.0;0.7543859649122807;0.0;0.0
Redirect2Return;-0.01990049751243781;0.0;0.59;0.0;0.0;-0.03201280512204882;0.0;0.0;0.0;-0.08206099398622183;-0.4;0.0;0.0;0.016142050040355124;0.0;0.41843971631205673;0.0;0.0
StringSwitch2SelectStat;-0.01979604079184163;0.0;0.66;0.0;0.0;-0.02857142857142857;0.0;0.0;0.0;-0.07053456158585983;-0.33;0.0;0.0;0.014285714285714285;0.0;0.4925373134328358;0.0;0.0
NoAnswer2SelectCase;0.13793103448275862;0.08333333333333333;0.89;0.5416666666666666;0.08333333333333337;0.1523809523809524;0.18181818181818182;0.08333333333333333;0.2886751345948129;0.2721655269759087;0.89;0.01;0.48552047707349016;0.0;0.27208137791727094;0.8018018018018018;0.09090909090909091;0.8999999999999999
CPL2Program;-0.019945602901178604;0.0;0.55;0.0;0.0;-0.034334763948497854;0.0;0.0;0.0;-0.0890870806374748;-0.44;0.0;0.0;0.017391304347826087;0.0;0.3793103448275862;0.0;0.0
Outgoing2Method;-0.018518518518518517;0.0;0.89;0.0;0.0;-0.02002002002002002;0.0;0.0;0.0;-0.0335012605086404;-0.1;0.0;0.0;0.009363295880149813;0.0;0.8018018018018018;0.0;0.0
Proxy2Select;0.06914893617021277;0.045454545454545456;0.79;0.5227272727272727;0.045454545454545414;0.0859504132231405;0.09523809523809523;0.045454545454545456;0.21320071635561041;0.18924236358783025;0.79;0.01;0.31888418274109553;0.0;0.18919646104235574;0.6528925619834711;0.047619047619047616;0.825
Failure2ErrorResponse;0.0;0.0;0.99;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9801980198019802;0.0;0.0
AddressSwitch2SelectStat;0.0732159406858202;0.047619047619047616;0.8;0.5238095238095238;0.04761904761904767;0.08987485779294653;0.1;0.047619047619047616;0.2182178902359924;0.1949334194001583;0.8;0.01;0.330839470569922;0.0;0.19488533121787316;0.6666666666666666;0.05;0.8319327731092437
Proxy2Return;-0.017811704834605598;0.0;0.92;0.0;0.0;-0.018666666666666668;0.0;0.0;0.0;-0.02757337634153148;-0.07;0.0;0.0;0.008454106280193236;0.0;0.8518518518518519;0.0;0.0
Default2SelectDefault;-0.01867572156196944;0.0;0.88;0.0;0.0;-0.02040816326530612;0.0;0.0;0.0;-0.03533326266687867;-0.11;0.0;0.0;0.009615384615384616;0.0;0.7857142857142857;0.0;0.0
SwitchedAddress2SelectCase;0.16666666666666666;0.1;0.91;0.55;0.09999999999999998;0.18018018018018017;0.2222222222222222;0.1;0.31622776601683794;0.3015113445777636;0.91;0.01;0.5381496824546242;0.0;0.3014103683050776;0.8348623853211009;0.1111111111111111;0.9166666666666667
NotPresent2ErrorResponse;-0.019860440150295224;0.0;0.62;0.0;0.0;-0.030452674897119343;0.0;0.0;0.0;-0.07702168049109678;-0.37;0.0;0.0;0.015301902398676593;0.0;0.4492753623188406;0.0;0.0
Location2URIConstant;0.0;0.0;0.99;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9801980198019802;0.0;0.0
Otherwise2SelectDefault;-0.019757807520713832;0.0;0.68;0.0;0.0;-0.02770330652368186;0.0;0.0;0.0;-0.06736568097271475;-0.31;0.0;0.0;0.013814616755793227;0.0;0.5151515151515151;0.0;0.0
Incoming2Method;-0.019184652278177457;0.0;0.83;0.0;0.0;-0.022176022176022176;0.0;0.0;0.0;-0.04386344633065127;-0.16;0.0;0.0;0.0107095046854083;0.0;0.7094017094017094;0.0;0.0
EXAM-BC;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.47368421052631576;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.05263157894736842;0.3684210526315789;0.10526315789473684;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.3684210526315789
EXAM-WC;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.47368421052631576;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.10526315789473684;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.3684210526315789
EXAM-AVG;0.3684210526315789;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.47368421052631576;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.3684210526315789;0.21052631578947367;0.3684210526315789;0.10526315789473684;0.3684210526315789;0.8947368421052632;0.3684210526315789;0.3684210526315789

OCL9;SrcSubCall.allInstances()->size() = TrgFunctionCallExp.allInstances()->size() and SrcSubCall.allInstances()->size() = TrgFunctionCall.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.057340382269215125;0.061224489795918366;0.48;0.19727891156462585;0.33333333333333337;-0.08499095840867993;0.00847457627118644;3.260674633581688E-6;0.14285714285714285;-0.09855848832108864;2.8846153846153846;0.03;0.21944131557382598;0.09102902374670185;0.09435791451067685;0.3157894736842105;0.17307692307692307;0.3422818791946309
SubCall2Return;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;49.0;0.49;1.0;0.0;0.9999599855948141;1.0;1.0;1.0
Busy2SelectCase;0.025578562728380026;0.14285714285714285;0.52;0.34065934065934067;0.5384615384615384;0.03471074380165289;0.016666666666666666;1.944147421921651E-5;0.2773500981126146;0.03747366058909428;6.884615384615385;0.07;0.3401902172569538;0.12569060773480664;0.18735715856679033;0.35135135135135137;1.0208333333333333;0.5483870967741936
SubAction2Function;-0.09622411693057248;0.08163265306122448;0.46;0.1946624803767661;0.3076923076923077;-0.1305785123966942;0.007797270955165692;3.95039098994823E-6;0.15848577035006547;-0.14097234221611657;3.826923076923077;0.04;0.239023778294133;0.13485477178423236;0.09992381790228817;0.2987012987012987;0.2962962962962963;0.3162790697674418
Redirect2Return;0.01606425702811245;0.40816326530612246;0.51;0.45408163265306123;0.5;0.016329863237395388;0.018691588785046728;6.894911210780883E-5;0.45175395145262565;0.01633319858500084;19.615384615384617;0.2;0.4781671481774682;0.3869246164109406;0.253154241021285;0.3422818791946309;8.16326530612245;0.51
StringSwitch2SelectStat;-0.20821586790173177;0.22448979591836735;0.4;0.2789115646258503;0.33333333333333337;-0.21953290870488323;0.009433962264150943;1.447233219001909E-5;0.2735506022160966;-0.2199444682939898;10.576923076923077;0.11;0.32478489325910737;0.38466257668711656;0.13570464339887622;0.25;2.0166666666666666;0.3422818791946308
NoAnswer2SelectCase;-0.07636068237205523;0.08163265306122448;0.47;0.2074829931972789;0.33333333333333337;-0.10576652601969058;0.008583690987124463;4.444162980788995E-6;0.1649572197684645;-0.11572914966555191;3.8461538461538463;0.04;0.2440976547208359;0.12289485662266728;0.10587334297489072;0.30718954248366015;0.3018867924528302;0.3422818791946309
CPL2Program;-0.14274258219727345;0.3673469387755102;0.43;0.38821892393320967;0.40909090909090906;-0.14346161595808987;0.013646702047005308;4.019177929255026E-5;0.3876574430285532;-0.14346518350309598;17.5;0.18;0.4075657190007722;0.4945612762871646;0.1813391319977763;0.27388535031847133;5.684210526315789;0.41879562043795626
Outgoing2Method;-0.15853658536585366;0.02040816326530612;0.43;0.06020408163265306;0.09999999999999998;-0.2294792586054722;0.002171552660152009;2.3147837366998314E-7;0.045175395145262566;-0.2600520156052018;0.8269230769230769;0.01;0.11601511734173632;0.10767160161507403;0.028003734391438922;0.27388535031847133;0.017543859649122806;0.10365853658536585
Proxy2Select;-0.03155339805825243;0.20408163265306123;0.49;0.3293135435992579;0.4545454545454546;-0.03701067615658363;0.013831258644536652;2.1364736647573714E-5;0.30457245193658633;-0.03766628887890313;9.76923076923077;0.1;0.36840867624278184;0.22;0.1883223502867615;0.32450331125827814;1.9607843137254901;0.4644808743169399
Failure2ErrorResponse;0.0;0.0;0.51;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3422818791946309;0.0;0.0
AddressSwitch2SelectStat;-0.09267503035208417;0.16326530612244897;0.46;0.27210884353741494;0.38095238095238093;-0.11014911014911015;0.010680907877169559;1.2006387398095787E-5;0.24939187455541983;-0.11246804895571623;7.75;0.08;0.3202040033346852;0.2186389029964449;0.14929523051619337;0.2987012987012987;1.1851851851851851;0.3904306220095694
Proxy2Return;-0.017501017501017502;0.061224489795918366;0.5;0.24489795918367346;0.4285714285714286;-0.027301587301587302;0.011583011583011582;4.890881711852073E-6;0.16198477414681164;-0.033712800706325846;2.923076923076923;0.03;0.22927927449471358;0.06924731182795699;0.1105379591900716;0.3333333333333333;0.18;0.4383954154727793
Default2SelectDefault;0.06542056074766354;0.14285714285714285;0.54;0.38961038961038963;0.6363636363636364;0.09258194364577343;0.02127659574468085;2.916022711651177E-5;0.30151134457776363;0.10293223481421486;6.923076923076923;0.07;0.3533727535370905;0.10428893905191873;0.21032633737814926;0.3698630136986301;1.065217391304348;0.6455696202531646
SwitchedAddress2SelectCase;0.0040650406504065045;0.10204081632653061;0.51;0.3010204081632653;0.5;0.005884083553986467;0.014598540145985401;1.136224190667509E-5;0.22587697572631282;0.00666800040013338;4.903846153846154;0.05;0.29155688515154576;0.09782125389061805;0.15335378357216553;0.3422818791946309;0.5102040816326531;0.51
NotPresent2ErrorResponse;0.03498190591073583;0.3877551020408163;0.52;0.4506343077771649;0.5135135135135135;0.03602484472049689;0.019076305220883535;6.683609586110533E-5;0.4462258226859698;0.03604665648044304;18.653846153846153;0.19;0.47848743305352043;0.3530534351145038;0.2597737610998263;0.35135135135135137;7.520833333333333;0.5235008103727714
Location2URIConstant;0.0;0.0;0.51;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3422818791946309;0.0;0.0
Otherwise2SelectDefault;-0.12857718661829906;0.24489795918367346;0.44;0.3159973666886109;0.3870967741935484;-0.1375592927986201;0.011549566891241578;2.0481264194653933E-5;0.30789480347447123;-0.13797555914243867;11.634615384615385;0.12;0.36070080301105273;0.33538011695906433;0.16608251779896785;0.28205128205128205;2.5714285714285716;0.39662994167206733
Incoming2Method;-0.0340632603406326;0.14285714285714285;0.49;0.2901785714285714;0.4375;-0.04371584699453552;0.012578616352201259;1.2961570794248025E-5;0.25;-0.045834924851410566;6.826923076923077;0.07;0.32132502872104063;0.16;0.16041348395614854;0.32450331125827814;0.9607843137254902;0.4473684210526316
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842

