;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL10;SrcRedirect.allInstances()->forAll(r|TrgHeadedMessageField.allInstances()->exists(hmf|hmf.headerId='#contact:'and TrgConstantExp.allInstances()->exists(ce|ce=hmf.exp and TrgRedirectionErrorResponse.allInstances()->exists(rer|rer.errorKind=if r.permanent='true' then RedirectionErrorKind::MOVED_PERMANENTLY else RedirectionErrorKind::MOVED_TEMPORARILY endif and TrgConstantExp.allInstances()->exists(cep|TrgConstantExp.allInstances()->exists(cep2|TrgReasonMessageField.allInstances()->exists(rmf|rmf.exp=cep2 and TrgWithExp.allInstances()->exists(we|we.exp=cep and we.msgFields->includes(rmf) and we.msgFields->includes(hmf)))))))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;X;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;3.0;29.0;6.0;62.0;9.0;91.0;68.0;32.0;0.00681044267877412;0.09375;0.65;0.21354166666666666;0.33333333333333337;0.008013355592654424;0.013245033112582781;5.1720749330216294E-6;0.1767766952966369;0.008988968316207744;2.9130434782608696;0.03;0.3222069629527066;0.06436498150431566;0.13931857281591253;0.48148148148148145;0.2571428571428571;0.5151515151515151;
SubCall2Return;;;X;;;;;X;;;X;X;;X;X;;X;;;;X;X;X;;X;;;;X;;;X;;;;X;;;;;;X;;X;;X;;X;;X;;X;X;X;X;X;;X;;X;X;;X;X;X;X;;;;X;;;X;;;;X;;X;;;X;;X;X;X;;;X;X;;X;X;;X;X;X;X;X;X;18.0;14.0;31.0;37.0;49.0;51.0;68.0;32.0;0.09347300564061241;0.3673469387755102;0.55;0.4649234693877551;0.36734693877551017;0.09925133689839573;0.021454112038140644;7.463487650922546E-5;0.4545686450484948;0.0994890791886725;17.55072463768116;0.18;0.49328304906168774;0.2817248459958932;0.28559002340866574;0.3793103448275862;7.2;0.552346570397112;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;;;;;;3.0;29.0;10.0;58.0;13.0;87.0;68.0;32.0;-0.06324972737186478;0.09375;0.61;0.1622596153846154;0.23076923076923073;-0.07015421832476565;0.00860832137733142;3.103313442243544E-6;0.14708710135363803;-0.07394302971911709;2.8550724637681157;0.03;0.29336184425952444;0.09352517985611511;0.11090747489357897;0.43884892086330934;0.23076923076923078;0.3893129770992366;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;;;;;;;;4.0;28.0;9.0;59.0;13.0;87.0;68.0;32.0;-0.008724100327153763;0.125;0.63;0.21634615384615385;0.3076923076923077;-0.009676443906864228;0.012269938650306749;6.3487931737775794E-6;0.19611613513818404;-0.010199038581947184;3.869565217391304;0.04;0.3435327234202609;0.09222194071446668;0.15042623031542895;0.45985401459854014;0.43243243243243246;0.48571428571428577;
Redirect2Return;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;X;;;;;;;0.0;32.0;8.0;60.0;8.0;92.0;68.0;32.0;-0.14678899082568808;0.0;0.6;0.0;0.0;-0.17582417582417584;0.0;0.0;0.0;-0.20228869496966945;-0.11594202898550725;0.0;0.0;0.05925925925925926;0.0;0.42857142857142855;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;X;X;;;X;X;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;X;;;;;;X;;;;X;;;X;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;X;;;;;;X;X;;X;X;;X;;11.0;21.0;22.0;46.0;33.0;67.0;68.0;32.0;0.020054694621695533;0.3333333333333333;0.57;0.33854166666666663;0.33333333333333337;0.02005926601322088;0.015748031496062992;2.6187109276426363E-5;0.338501600193165;0.020059904433384023;10.681159420289855;0.11;0.4378676687184114;0.21826771653543306;0.23067838419677572;0.3986013986013986;2.813953488372093;0.5151515151515151;
NoAnswer2SelectCase;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;X;X;X;;;X;;;;1.0;31.0;11.0;57.0;12.0;88.0;68.0;32.0;-0.15638766519823788;0.03125;0.58;0.057291666666666664;0.08333333333333337;-0.17574257425742573;0.0027624309392265192;2.932514340728255E-7;0.051031036307982884;-0.1873513968460824;0.8405797101449275;0.01;0.1691367445766582;0.08874045801526717;0.03759973656306368;0.4084507042253521;0.023809523809523808;0.16190476190476188;
CPL2Program;X;;;;;X;;;;X;;;X;;;X;X;;X;X;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;X;;X;X;X;;X;;;X;X;;;X;X;;;;X;X;;X;X;;X;;;X;;X;;;;X;X;;;X;X;;;X;X;;X;X;;;;X;;;;;;14.0;18.0;30.0;38.0;44.0;56.0;68.0;32.0;-0.0033444816053511705;0.3181818181818182;0.52;0.37784090909090906;0.31818181818181823;-0.0034482758620689655;0.01598173515981735;3.6290462940401427E-5;0.3731012536223182;-0.003454937455142388;13.565217391304348;0.14;0.4357264520194434;0.28695652173913044;0.22974341890268082;0.35135135135135137;4.083333333333333;0.497907949790795;
Outgoing2Method;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;X;;;X;;;;;X;;;;;;;;;;;;;5.0;27.0;5.0;63.0;10.0;90.0;68.0;32.0;0.10112359550561797;0.15625;0.68;0.328125;0.5;0.11703511053315994;0.023255813953488372;1.8515981143324803E-5;0.2795084971874737;0.12862393885688161;4.927536231884058;0.05;0.41550631800527815;0.07009345794392523;0.22507580959000348;0.5151515151515151;0.78125;0.6799999999999999;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;5.0;27.0;17.0;51.0;22.0;78.0;68.0;32.0;-0.10220440881763528;0.15625;0.56;0.19176136363636365;0.2272727272727273;-0.10483042137718397;0.008787346221441126;5.44633238530841E-6;0.18844459036110225;-0.10557037887165555;4.753623188405797;0.05;0.32275100400630835;0.15814696485623003;0.13195614483456716;0.3888888888888889;0.5681818181818182;0.38461538461538464;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;32.0;0.0;68.0;0.0;100.0;68.0;32.0;0.0;0.0;0.68;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5151515151515151;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;X;;;;X;X;;;X;;X;;;;;;;;;;X;;;X;X;X;;;;;;;;;;X;;;;;;X;X;;X;;;X;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;6.0;26.0;15.0;53.0;21.0;79.0;68.0;32.0;-0.03640040444893832;0.1875;0.59;0.23660714285714285;0.2857142857142857;-0.03754889178617992;0.011695906432748537;9.230101823406616E-6;0.23145502494313785;-0.03789482081964057;5.782608695652174;0.06;0.36760165759133123;0.1472889128675479;0.1673599835137075;0.41843971631205673;0.8780487804878049;0.4594594594594595;
