In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL22;TrgLocalFunctionDeclaration.allInstances()->collect(lfd|lfd.statements)->flatten()->size() <= SrcSubAction.allInstances()->collect(sa|sa.contents)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.09254498714652956;0.0;0.83;0.0;0.0;-0.09260450160771704;0.0;0.0;0.0;-0.09273670016027795;-0.0967741935483871;0.0;0.0;0.03469879518072289;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;0.0032546786004882017;0.08163265306122448;0.51;0.29081632653061223;0.08163265306122447;0.004945904173106646;0.014388489208633094;8.887842098597276E-6;0.20203050891044214;0.005898858135823814;3.5161290322580645;0.04;0.26549185457432367;0.07818109293976865;0.138612945465596;0.3422818791946309;0.32653061224489793;0.5054945054945055
Busy2SelectCase;-0.004228329809725159;0.07692307692307693;0.81;0.10096153846153846;0.07692307692307687;-0.004284949116229245;0.0106951871657754;1.1904478464798456E-6;0.09805806756909202;-0.0043841941849607335;0.8709677419354839;0.01;0.34356614465620006;0.043603258265452804;0.08767427417313965;0.680672268907563;0.05263157894736842;0.4893617021276595
SubAction2Function;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;0.6153846153846154;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;7.946236559139785;0.08;0.8730378376039294;0.0;0.762766185306315;0.9047619047619048;12.8;0.9484536082474226
Redirect2Return;-0.009615384615384616;0.075;0.58;0.225;0.07499999999999996;-0.012755102040816327;0.012096774193548387;4.864509887116346E-6;0.16770509831248423;-0.015048231635721152;2.6021505376344085;0.03;0.27392460661501905;0.07692307692307693;0.12413857066486804;0.4084507042253521;0.21428571428571427;0.4825174825174825
StringSwitch2SelectStat;-0.03583426651735722;0.06060606060606061;0.63;0.1553030303030303;0.06060606060606055;-0.043434000678656264;0.008968609865470852;2.1504474543540646E-6;0.12309149097933272;-0.05017029971910849;1.6666666666666667;0.02;0.2606707345503421;0.07514231499051234;0.0956296373277275;0.45985401459854014;0.10810810810810811;0.425925925925926
NoAnswer2SelectCase;0.004424778761061947;0.08333333333333333;0.82;0.10416666666666666;0.08333333333333337;0.004464285714285714;0.011627906976744186;1.29866925361582E-6;0.10206207261596577;0.004537212554003923;0.8817204301075269;0.01;0.35714285714285715;0.04133858267716536;0.09186813358735381;0.6949152542372882;0.05555555555555555;0.5111111111111111
CPL2Program;0.199288256227758;0.18181818181818182;0.64;0.5909090909090909;0.18181818181818177;0.28;0.05555555555555555;0.18181818181818182;0.42640143271122083;0.33267391956523024;7.612903225806452;0.08;0.4475647698834692;0.0;0.33264921784220797;0.47058823529411764;1.7777777777777777;0.71875
Outgoing2Method;0.14634146341463414;0.2;0.86;0.225;0.19999999999999996;0.1466992665036675;0.03225806451612903;8.332777814812346E-6;0.22360679774997896;0.14744195615489714;1.913978494623656;0.02;0.5165993131297737;0.03546099290780142;0.20639337941385746;0.7543859649122807;0.2857142857142857;0.7419354838709677
Proxy2Select;-0.05740181268882175;0.045454545454545456;0.72;0.08522727272727273;0.045454545454545414;-0.06199021207177814;0.006211180124223602;6.802586887741671E-7;0.07537783614444091;-0.06762636486976908;0.7741935483870968;0.01;0.2518599917518676;0.06179775280898876;0.06317164077514155;0.5625;0.03571428571428571;0.3538461538461538
