In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL19;SrcEEnumLiteral.allInstances()->forAll(e | TrgOperation.allInstances()->select(op|not op.name.oclIsUndefined())->one(op | Sequence{1..op.name.size()}->exists(i | Sequence{i..op.name.size()}->exists(j | op.name.substring(i,j)=e.name and SrcEEnum.allInstances()->one(en | TrgSort.allInstances()->one(s | Sequence{1..s.name.size()}->exists(k | Sequence{k..s.name.size()}->exists(l | s.name.substring(k,l)=en.name and op.coarity=s ))))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
EnumLitConstant;0.8780487804878049;0.8;0.98;0.9;0.8;0.8801955990220048;1.0;0.8;0.8944271909999159;0.8846517369293828;7.978494623655914;0.08;0.9457005944193629;0.0;0.8845430546308177;0.9607843137254902;32.0;0.978723404255319
ClassEqSuperTypes;0.04809619238476954;0.10526315789473684;0.62;0.3026315789473684;0.10526315789473684;0.062095730918499355;0.018867924528301886;1.1763252774657248E-5;0.22941573387056174;0.07290287958392087;3.6344086021505375;0.04;0.33603051961204766;0.06199021207177814;0.17616858066445185;0.4492753623188406;0.42105263157894735;0.5750000000000001
AttEqSpecificDefaultValue;-0.026119402985074626;0.0625;0.78;0.09375;0.0625;-0.026923076923076925;0.008620689655172414;9.523600911599079E-7;0.08838834764831843;-0.028152663528840674;0.8387096774193549;0.01;0.3076310100058112;0.05;0.07741204129305612;0.639344262295082;0.045454545454545456;0.4339622641509434
EqLowerBound;0.07670454545454546;0.125;0.74;0.25;0.125;0.084375;0.020833333333333332;8.570718426187545E-6;0.21650635094610968;0.09321212981240563;2.774193548387097;0.03;0.40359475716956533;0.05415162454873646;0.18381916881870192;0.5873015873015873;0.34615384615384615;0.6216216216216216
AttEqIsId;-0.03806228373702422;0.05555555555555555;0.76;0.09027777777777778;0.05555555555555558;-0.039783001808318265;0.007633587786259542;8.403184807041869E-7;0.08333333333333333;-0.042215369080362865;0.8172043010752688;0.01;0.28699290346957324;0.054030874785591765;0.07195111219889758;0.6129032258064516;0.041666666666666664;0.4035087719298246
EqIsOrdered;0.07670454545454546;0.125;0.74;0.25;0.125;0.084375;0.020833333333333332;8.570718426187545E-6;0.21650635094610968;0.09321212981240563;2.774193548387097;0.03;0.40359475716956533;0.05415162454873646;0.18381916881870192;0.5873015873015873;0.34615384615384615;0.6216216216216216
Initialize;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
EnumLitList;0.7282608695652174;0.75;0.96;0.75;0.75;0.7282608695652174;0.375;8.986520219670494E-4;0.75;0.7282608695652174;5.978494623655914;0.06;0.8796554538432317;0.028985507246376812;0.7335959788072273;0.9230769230769231;9.0;0.971830985915493
RefEqOpposite;0.08906882591093117;0.14285714285714285;0.82;0.19642857142857142;0.1428571428571429;0.09072164948453608;0.022222222222222223;5.555246930726071E-6;0.1889822365046136;0.09348254376477573;1.870967741935484;0.02;0.44868329805051377;0.043478260869565216;0.16995020755218845;0.6949152542372882;0.2222222222222222;0.6571428571428571
EnumLiteral2Operation;0.7282608695652174;0.75;0.96;0.75;0.75;0.7282608695652174;0.375;8.986520219670494E-4;0.75;0.7282608695652174;5.978494623655914;0.06;0.8796554538432317;0.028985507246376812;0.7335959788072273;0.9230769230769231;9.0;0.971830985915493
Package2Operation;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
ClassEqReferences;0.04809619238476954;0.10526315789473684;0.62;0.3026315789473684;0.10526315789473684;0.062095730918499355;0.018867924528301886;1.1763252774657248E-5;0.22941573387056174;0.07290287958392087;3.6344086021505375;0.04;0.33603051961204766;0.06199021207177814;0.17616858066445185;0.4492753623188406;0.42105263157894735;0.5750000000000001
EmptyList;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
NamedElList;0.1116751269035533;0.14285714285714285;0.72;0.3214285714285714;0.1428571428571429;0.12790697674418605;0.02631578947368421;1.666444474070124E-5;0.2672612419124244;0.1444869078105018;3.741935483870968;0.04;0.4225901995600771;0.051094890510948905;0.22327961833121313;0.5625;0.5714285714285714;0.6571428571428571
Attribute2Operation;-0.03806228373702422;0.05555555555555555;0.76;0.09027777777777778;0.05555555555555558;-0.039783001808318265;0.007633587786259542;8.403184807041869E-7;0.08333333333333333;-0.042215369080362865;0.8172043010752688;0.01;0.28699290346957324;0.054030874785591765;0.07195111219889758;0.6129032258064516;0.041666666666666664;0.4035087719298246
NamedElConstant;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
EnumEqMetaAux;0.26778242677824265;0.2222222222222222;0.72;0.6111111111111112;0.2222222222222222;0.3368421052631579;0.07142857142857142;0.2222222222222222;0.47140452079103173;0.3931785497463924;7.698924731182796;0.08;0.522407749927483;0.0;0.3931483588281191;0.5625;2.2857142857142856;0.7666666666666666
Class2Sort;0.04809619238476954;0.10526315789473684;0.62;0.3026315789473684;0.10526315789473684;0.062095730918499355;0.018867924528301886;1.1763252774657248E-5;0.22941573387056174;0.07290287958392087;3.6344086021505375;0.04;0.33603051961204766;0.06199021207177814;0.17616858066445185;0.4492753623188406;0.42105263157894735;0.5750000000000001
createSort;0.0;0.0;0.92;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8518518518518519;0.0;0.0
ClassEqAttributes;0.04809619238476954;0.10526315789473684;0.62;0.3026315789473684;0.10526315789473684;0.062095730918499355;0.018867924528301886;1.1763252774657248E-5;0.22941573387056174;0.07290287958392087;3.6344086021505375;0.04;0.33603051961204766;0.06199021207177814;0.17616858066445185;0.4492753623188406;0.42105263157894735;0.5750000000000001
EqIsUnique;0.07670454545454546;0.125;0.74;0.25;0.125;0.084375;0.020833333333333332;8.570718426187545E-6;0.21650635094610968;0.09321212981240563;2.774193548387097;0.03;0.40359475716956533;0.05415162454873646;0.18381916881870192;0.5873015873015873;0.34615384615384615;0.6216216216216216
EqName;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
MetamodelEqName;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
EqPackage;0.10533423362592843;0.13114754098360656;0.47;0.5655737704918032;0.1311475409836066;0.20032102728731943;0.03773584905660377;0.13114754098360656;0.3621429841700741;0.23578624481307345;7.43010752688172;0.08;0.32624425105038185;0.0;0.23576842720022248;0.30718954248366015;1.2075471698113207;0.6344827586206896
EqLiterals;0.26778242677824265;0.2222222222222222;0.72;0.6111111111111112;0.2222222222222222;0.3368421052631579;0.07142857142857142;0.2222222222222222;0.47140452079103173;0.3931785497463924;7.698924731182796;0.08;0.522407749927483;0.0;0.3931483588281191;0.5625;2.2857142857142856;0.7666666666666666
PackEqSubPackages;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
PackEqSupPackage;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
PackEqMetamodel;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
Reference2Operation;0.08906882591093117;0.14285714285714285;0.82;0.19642857142857142;0.1428571428571429;0.09072164948453608;0.022222222222222223;5.555246930726071E-6;0.1889822365046136;0.09348254376477573;1.870967741935484;0.02;0.44868329805051377;0.043478260869565216;0.16995020755218845;0.6949152542372882;0.2222222222222222;0.6571428571428571
EqContainingClass;0.07670454545454546;0.125;0.74;0.25;0.125;0.084375;0.020833333333333332;8.570718426187545E-6;0.21650635094610968;0.09321212981240563;2.774193548387097;0.03;0.40359475716956533;0.05415162454873646;0.18381916881870192;0.5873015873015873;0.34615384615384615;0.6216216216216216
mtOrdConstant;0.13990825688073394;0.15625;0.7;0.390625;0.15625;0.16758241758241757;0.03205128205128205;3.0857530780386954E-5;0.3125;0.19280641239296617;4.709677419354839;0.05;0.4342585459106649;0.044444444444444446;0.2567915283704189;0.5384615384615384;0.8333333333333334;0.6804733727810651
PackEqClasses;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
