;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL17;SrcEEnum.allInstances()->forAll(e | TrgSort.allInstances()->one(s | Sequence{1..s.name.size()}->exists(i | Sequence{i..s.name.size()}->exists(j | s.name.substring(i,j)=e.name and TrgSubsortRel.allInstances()->one(ss | ss.subsorts->includes(s) and s.module=ss.module and TrgSort.allInstances()->one(so | so.name='@EnumerationInstance' and ss.supersorts->includes(so)))))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
MetamodelEqPackages;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;13.0;0.0;87.0;0.0;100.0;0.0;87.0;13.0;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5;
EnumLitConstant;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;X;;;;5.0;8.0;5.0;82.0;10.0;90.0;87.0;13.0;0.3627450980392157;0.38461538461538464;0.87;0.4423076923076923;0.5;0.3643525356967011;0.06896551724137931;6.248594066335074E-5;0.43852900965351466;0.36673230396086576;4.943181818181818;0.05;0.6601170057312136;0.04540295119182747;0.4063387645103384;0.7699115044247787;1.9230769230769231;0.87;
ClassEqSuperTypes;;;X;;;X;;X;;;X;;;X;;X;X;;;;;;;;X;;;;;;;;X;X;X;X;;;;;X;X;;X;X;;X;X;X;;;;;;;;;;;X;X;;X;X;;;X;;;;;X;;X;;;;X;X;;X;;X;;X;X;;;X;;;;X;;;X;X;X;;X;13.0;0.0;25.0;62.0;38.0;62.0;87.0;13.0;0.39202334630350194;0.34210526315789475;0.75;0.6710526315789473;0.3421052631578947;0.46228850014338974;0.08;0.34210526315789475;0.5848976518656018;0.4937602181778636;12.715909090909092;0.13;0.6234380538070838;0.0;0.4937299719968842;0.6;6.76;0.7767857142857143;
AttEqSpecificDefaultValue;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;X;;;;X;;;X;X;;;;4.0;9.0;12.0;75.0;16.0;84.0;87.0;13.0;0.15458937198067632;0.25;0.79;0.27884615384615385;0.25;0.15515151515151515;0.02666666666666667;1.4813443199703732E-5;0.2773500981126146;0.15572928580876177;3.8636363636363638;0.04;0.5037866756598899;0.06299212598425197;0.2433072746657133;0.6528925619834711;0.7619047619047619;0.6904761904761905;
EqLowerBound;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;X;;;;X;;;X;X;X;;;10.0;3.0;14.0;73.0;24.0;76.0;87.0;13.0;0.44733420026007803;0.4166666666666667;0.83;0.592948717948718;0.41666666666666663;0.4656514382402707;0.07874015748031496;2.379422752040355E-4;0.5661385170722978;0.4790101530535691;9.840909090909092;0.1;0.685293072385935;0.04832214765100671;0.5082166680737058;0.7094017094017094;5.882352941176471;0.8269961977186312;
AttEqIsId;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;X;X;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;;;;X;;;;;;;;;;;X;;;;X;;;X;X;X;;;5.0;8.0;13.0;74.0;18.0;82.0;87.0;13.0;0.20212765957446807;0.2777777777777778;0.79;0.33119658119658124;0.2777777777777778;0.20406597621787495;0.03194888178913738;2.4035457106323248E-5;0.3268602252303067;0.2058766796643425;4.8522727272727275;0.05;0.5357616512911707;0.06587374199451052;0.28634765505774973;0.6528925619834711;1.1904761904761905;0.7201986754966888;
EqIsOrdered;;;X;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;X;X;;X;X;;;X;X;;;;;;;;;;;;X;;X;X;;;X;;;;;X;;X;;;;X;X;;;;;;;X;;;X;;;;X;;;X;X;X;;;10.0;3.0;14.0;73.0;24.0;76.0;87.0;13.0;0.44733420026007803;0.4166666666666667;0.83;0.592948717948718;0.41666666666666663;0.4656514382402707;0.07874015748031496;2.379422752040355E-4;0.5661385170722978;0.4790101530535691;9.840909090909092;0.1;0.685293072385935;0.04832214765100671;0.5082166680737058;0.7094017094017094;5.882352941176471;0.8269961977186312;
Initialize;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;13.0;0.0;87.0;0.0;100.0;0.0;87.0;13.0;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5;
EnumLitList;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;3.0;10.0;5.0;82.0;8.0;92.0;87.0;13.0;0.20718816067653276;0.23076923076923078;0.85;0.3028846153846154;0.375;0.209962506695233;0.041379310344827586;1.799805620992933E-5;0.29417420270727607;0.21482551506307596;2.9431818181818183;0.03;0.5546898348765619;0.038461538461538464;0.26959839308240446;0.7391304347826086;0.6;0.8006134969325154;
RefEqOpposite;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;X;;;;;;;;;;;;;X;;;X;;;X;;;;;X;;;;;;X;X;;;;;;;X;;;X;;;;X;;;;;X;;;7.0;6.0;7.0;80.0;14.0;86.0;87.0;13.0;0.4434931506849315;0.5;0.87;0.5192307692307692;0.5;0.4436830835117773;0.08;1.166277907364212E-4;0.5188745216627708;0.44390007031784373;6.920454545454546;0.07;0.7022740704926248;0.05377720870678617;0.47985084709559017;0.7699115044247787;3.769230769230769;0.87;
EnumLiteral2Operation;;;;;X;;;;;;;X;;;;;X;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;X;;;;5.0;8.0;5.0;82.0;10.0;90.0;87.0;13.0;0.3627450980392157;0.38461538461538464;0.87;0.4423076923076923;0.5;0.3643525356967011;0.06896551724137931;6.248594066335074E-5;0.43852900965351466;0.36673230396086576;4.943181818181818;0.05;0.6601170057312136;0.04540295119182747;0.4063387645103384;0.7699115044247787;1.9230769230769231;0.87;
