In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.8529411764705882;0.7692307692307693;0.97;0.8846153846153846;1.0;0.8567208271787297;0.6666666666666666;0.7692307692307693;0.8770580193070293;0.8623164985025763;10.0;0.1;0.9294047257881373;0.05434782608695652;0.8622310368877912;0.941747572815534;33.333333333333336;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Attributes;0.5986238532110092;0.46153846153846156;0.93;0.7307692307692308;1.0;0.6159292035398231;0.2857142857142857;0.46153846153846156;0.6793662204867574;0.6535813462031687;6.0;0.06;0.8047273789712689;0.03333333333333333;0.6534995233874141;0.8691588785046729;5.142857142857143;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;1.0;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;8.0;0.08;0.8730378376039294;0.04395604395604396;0.762766185306315;0.9047619047619048;12.8;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.5;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;0.375;0.25;0.25;0.5;0.625
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.375;0.1875;0.1875;0.5;0.375

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.27419354838709675;0.2;0.91;0.43333333333333335;0.19999999999999996;0.28547439126784213;0.11764705882352941;4.998625378021044E-5;0.3651483716701107;0.3321858829976445;1.9183673469387754;0.02;0.6302635688221578;0.011210762331838564;0.34775020825048053;0.8348623853211009;0.4444444444444444;0.8899082568807339
References;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;0.23076923076923073;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;2.8979591836734695;0.03;0.6570114759344008;0.0;0.4548697070866398;0.8181818181818182;0.9;0.9065420560747663
Attributes;0.6527777777777778;0.5;0.97;0.75;0.5;0.6596491228070176;0.6666666666666666;0.5;0.7071067811865476;0.6960862607997853;2.9693877551020407;0.03;0.8683798094665041;0.0;0.6959144818956934;0.941747572815534;3.0;0.9700000000000001
Class;0.14077990746860541;0.10344827586206896;0.74;0.5517241379310345;0.10344827586206895;0.18127659574468086;0.07692307692307693;0.10344827586206896;0.3216337604513384;0.2751724405218508;2.7346938775510203;0.03;0.40359475716956533;0.0;0.27513689587813417;0.5873015873015873;0.34615384615384615;0.7886178861788619
Package;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
NamedElement;0.0;0.03;0.03;0.515;0.030000000000000027;0.0;0.020618556701030927;0.03;0.1732050807568877;0.0;2.010204081632653;0.03;0.03;0.0;0.0;0.015228426395939087;0.09278350515463918;0.5
