In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.14077990746860541;0.10344827586206896;0.74;0.5517241379310345;1.0;0.18127659574468086;0.07692307692307693;0.10344827586206896;0.3216337604513384;0.2751724405218508;3.0;0.03;0.40359475716956533;0.020689655172413793;0.27513689587813417;0.5873015873015873;0.34615384615384615;1.0
References;0.2703045685279188;0.20689655172413793;0.77;0.603448275862069;1.0;0.32481890964544413;0.08695652173913043;0.20689655172413793;0.454858826147342;0.39531370753631123;6.0;0.06;0.536661809958209;0.04054054054054054;0.39527702715436097;0.6260162601626016;1.565217391304348;1.0
Attributes;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;29.0;0.29;1.0;0.0;0.9999514350930019;1.0;1.0;1.0
Package;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
NamedElement;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
Property;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
StrongReferences;0.18513689700130379;0.13793103448275862;0.75;0.5689655172413793;1.0;0.2325010233319689;0.08;0.13793103448275862;0.3713906763541037;0.3193923828973909;4.0;0.04;0.4547710747914146;0.0273972602739726;0.3193564673962939;0.6;0.64;1.0
EXAM-BC;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.125;0.25;0.25;0.125;0.125
EXAM-WC;0.375;0.375;0.375;0.375;0.75;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.25;0.375;0.375;0.25;0.75
EXAM-AVG;0.3125;0.3125;0.3125;0.3125;0.4375;0.3125;0.3125;0.3125;0.3125;0.3125;0.3125;0.25;0.3125;0.1875;0.3125;0.3125;0.1875;0.4375

OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.14077990746860541;0.10344827586206896;0.74;0.5517241379310345;1.0;0.18127659574468086;0.07692307692307693;0.10344827586206896;0.3216337604513384;0.2751724405218508;3.0;0.03;0.40359475716956533;0.020689655172413793;0.27513689587813417;0.5873015873015873;0.34615384615384615;1.0
References;0.2703045685279188;0.20689655172413793;0.77;0.603448275862069;1.0;0.32481890964544413;0.08695652173913043;0.20689655172413793;0.454858826147342;0.39531370753631123;6.0;0.06;0.536661809958209;0.04054054054054054;0.39527702715436097;0.6260162601626016;1.565217391304348;1.0
Attributes;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;1.0;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;13.0;0.13;0.7305531586484636;0.08387096774193549;0.6048027634227622;0.7241379310344828;10.5625;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;29.0;0.29;1.0;0.0;0.9999514350930019;1.0;1.0;1.0
Package;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
NamedElement;0.0;0.29;0.29;0.645;0.29000000000000004;0.0;0.028169014084507043;0.29;0.5385164807134504;0.0;28.01388888888889;0.29;0.29;0.0;0.0;0.1695906432748538;11.845070422535212;0.5
