In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.10044977511244378;0.09090909090909091;0.88;0.2121212121212121;0.33333333333333337;0.10551181102362205;0.038461538461538464;4.999675021123627E-6;0.17407765595569785;0.12552694585358914;0.9777777777777777;0.01;0.4625432760617778;0.015592515592515593;0.16296714346989297;0.7857142857142857;0.08333333333333333;0.8018018018018018
References;0.4260204081632653;0.36363636363636365;0.91;0.5151515151515151;0.6666666666666667;0.43292287751134156;0.125;1.1424328106703225E-4;0.4923659639173309;0.4494853784670915;3.977777777777778;0.04;0.7156825533206779;0.029577464788732393;0.46826306576770654;0.8348623853211009;1.7777777777777777;0.9417989417989417
Attributes;0.9053926206244087;0.8461538461538461;0.98;0.9230769230769231;0.8461538461538461;0.9071090047393365;1.0;0.8461538461538461;0.9198662110077999;0.909471908847024;10.977777777777778;0.11;0.9544786380799085;0.0;0.9093854866365321;0.9607843137254902;60.5;0.978021978021978
Class;0.4646044021415824;0.3793103448275862;0.82;0.6896551724137931;0.3793103448275862;0.5141540487162607;0.1111111111111111;0.3793103448275862;0.6158817620514397;0.5500871686057616;10.8;0.11;0.6839131674892721;0.0;0.5500484266618924;0.6949152542372882;6.722222222222222;0.8317757009345794
Package;0.0;0.11;0.11;0.555;0.10999999999999999;0.0;0.02247191011235955;0.11;0.33166247903553997;0.0;10.011111111111111;0.11;0.11;0.0;0.0;0.0582010582010582;1.3595505617977528;0.5
NamedElement;0.0;0.11;0.11;0.555;0.10999999999999999;0.0;0.02247191011235955;0.11;0.33166247903553997;0.0;10.011111111111111;0.11;0.11;0.0;0.0;0.0582010582010582;1.3595505617977528;0.5
Property;0.9053926206244087;0.8461538461538461;0.98;0.9230769230769231;0.8461538461538461;0.9071090047393365;1.0;0.8461538461538461;0.9198662110077999;0.909471908847024;10.977777777777778;0.11;0.9544786380799085;0.0;0.9093854866365321;0.9607843137254902;60.5;0.978021978021978
StrongReferences;0.3626062322946176;0.2727272727272727;0.91;0.5113636363636364;0.75;0.3756419662509171;0.13953488372093023;1.1244939777100305E-4;0.45226701686664544;0.417525502351727;2.988888888888889;0.03;0.681394239304606;0.021052631578947368;0.4305029610326133;0.8348623853211009;1.0;0.9604316546762589
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.25;0.25
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.1875;0.1875


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.125;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL12;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.25;0.25

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL12;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.1875;0.1875
