In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;1.0;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;3.0;0.03;0.6570114759344008;0.01694915254237288;0.4548697070866398;0.8181818181818182;0.9;1.0
References;0.5986238532110092;0.46153846153846156;0.93;0.7307692307692308;1.0;0.6159292035398231;0.2857142857142857;0.46153846153846156;0.6793662204867574;0.6535813462031687;6.0;0.06;0.8047273789712689;0.03333333333333333;0.6534995233874141;0.8691588785046729;5.142857142857143;1.0
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.43609022556390975;0.3076923076923077;0.91;0.6538461538461539;1.0;0.4594059405940594;0.2222222222222222;0.3076923076923077;0.5547001962252291;0.5280588545286915;4.0;0.04;0.7156825533206779;0.02247191011235955;0.5279787384804566;0.8348623853211009;1.7777777777777777;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.75;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.875;0.625
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.8125;0.375

OCL4;SrcNamedElement.allInstances()-> size() = TrgElement.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.33460076045627374;0.25;0.93;0.4583333333333333;0.6666666666666667;0.3427458617332035;0.15384615384615385;6.66466726648672E-5;0.4082482904638631;0.3803008237823714;1.989247311827957;0.02;0.688760762944314;0.01506276150627615;0.39318066610948815;0.8691588785046729;0.5714285714285714;0.9583333333333334
References;0.6932515337423313;0.625;0.96;0.7291666666666667;0.8333333333333334;0.6953846153846154;0.38461538461538464;8.320852055250458E-4;0.7216878364870323;0.7015521754123343;4.989247311827957;0.05;0.868120545372176;0.027607361963190184;0.7060989010854;0.9230769230769231;6.25;0.9829059829059829
Attributes;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;0.6153846153846154;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;7.946236559139785;0.08;0.8730378376039294;0.0;0.762766185306315;0.9047619047619048;12.8;0.9484536082474226
Class;0.3510506798516687;0.27586206896551724;0.79;0.6379310344827587;0.27586206896551724;0.40644007155635065;0.09523809523809523;0.27586206896551724;0.5252257314388902;0.46140389381038854;7.774193548387097;0.08;0.6025192750481516;0.0;0.4613664155954891;0.6528925619834711;3.0476190476190474;0.8141592920353983
Package;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
NamedElement;0.0;0.08;0.08;0.54;0.07999999999999996;0.0;0.021739130434782608;0.08;0.282842712474619;0.0;7.010752688172043;0.08;0.08;0.0;0.0;0.041666666666666664;0.6956521739130435;0.5
Property;0.7357293868921776;0.6153846153846154;0.95;0.8076923076923077;0.6153846153846154;0.7455811462238886;0.4;0.6153846153846154;0.7844645405527362;0.7628497881831676;7.946236559139785;0.08;0.8730378376039294;0.0;0.762766185306315;0.9047619047619048;12.8;0.9484536082474226
StrongReferences;0.647887323943662;0.5;0.96;0.75;1.0;0.6571428571428571;0.5;0.5;0.7071067811865475;0.6922186552431729;4.0;0.04;0.8528509724572253;0.02127659574468085;0.6920884713977978;0.9230769230769231;4.0;1.0
EXAM-BC;0.125;0.25;0.375;0.125;0.5;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.375;0.125;0.5
EXAM-WC;0.25;0.375;0.5;0.25;0.625;0.25;0.375;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.5;0.25;0.625
EXAM-AVG;0.1875;0.3125;0.4375;0.1875;0.5625;0.1875;0.3125;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.4375;0.1875;0.5625

OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;1.0;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;3.0;0.03;0.6570114759344008;0.01694915254237288;0.4548697070866398;0.8181818181818182;0.9;1.0
References;0.5986238532110092;0.46153846153846156;0.93;0.7307692307692308;1.0;0.6159292035398231;0.2857142857142857;0.46153846153846156;0.6793662204867574;0.6535813462031687;6.0;0.06;0.8047273789712689;0.03333333333333333;0.6534995233874141;0.8691588785046729;5.142857142857143;1.0
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.43609022556390975;0.3076923076923077;0.91;0.6538461538461539;1.0;0.4594059405940594;0.2222222222222222;0.3076923076923077;0.5547001962252291;0.5280588545286915;4.0;0.04;0.7156825533206779;0.02247191011235955;0.5279787384804566;0.8348623853211009;1.7777777777777777;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.75;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.875;0.625
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.8125;0.375

OCL11;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;1.0;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;3.0;0.03;0.6570114759344008;0.01694915254237288;0.4548697070866398;0.8181818181818182;0.9;1.0
References;0.5986238532110092;0.46153846153846156;0.93;0.7307692307692308;1.0;0.6159292035398231;0.2857142857142857;0.46153846153846156;0.6793662204867574;0.6535813462031687;6.0;0.06;0.8047273789712689;0.03333333333333333;0.6534995233874141;0.8691588785046729;5.142857142857143;1.0
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.43609022556390975;0.3076923076923077;0.91;0.6538461538461539;1.0;0.4594059405940594;0.2222222222222222;0.3076923076923077;0.5547001962252291;0.5280588545286915;4.0;0.04;0.7156825533206779;0.02247191011235955;0.5279787384804566;0.8348623853211009;1.7777777777777777;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125;0.125;0.75;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.625;0.25;0.25;0.25;0.25;0.25;0.25;0.625;0.25;1.0;0.25;0.25;0.875;0.625
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.375;0.1875;0.75;0.1875;0.1875;0.8125;0.375

OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.34296977660972405;0.23076923076923078;0.9;0.6153846153846154;1.0;0.3670886075949367;0.2;0.23076923076923078;0.48038446141526137;0.4549489954070537;3.0;0.03;0.6570114759344008;0.01694915254237288;0.4548697070866398;0.8181818181818182;0.9;1.0
References;0.5986238532110092;0.46153846153846156;0.93;0.7307692307692308;1.0;0.6159292035398231;0.2857142857142857;0.46153846153846156;0.6793662204867574;0.6535813462031687;6.0;0.06;0.8047273789712689;0.03333333333333333;0.6534995233874141;0.8691588785046729;5.142857142857143;1.0
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
